Condition	Sex	Age	Location	Measure	Unit	Forecast Scenario	Year	Value	Lower	Upper	Data Suite	DA
Tuberculosis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	34581.286	31398.675	37921.85	GBD	Infectious Diseases
Hypertensive heart disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	284.70396	217.1738	367.46634	GBD	Cardiovascular
HIV/AIDS	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	37.91229	19.92985	69.3963	GBD	Infectious Diseases
Diarrheal diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	78.3559	66.25797	92.141156	GBD	Other
Cardiomyopathy and myocarditis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	28.99333	23.5164	34.734208	GBD	Cardiovascular
Pulmonary Arterial Hypertension	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	2.8671257	2.3011135	3.567688	GBD	Cardiovascular
Atrial fibrillation and flutter	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	774.5817	614.58796	1008.9666	GBD	Cardiovascular
Soft tissue and other extraosseous sarcomas	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	3.1854775	2.1630836	4.537919	GBD	Other Onco Hem
Non-rheumatic valvular heart disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	241.51653	227.89617	256.06425	GBD	Cardiovascular
Lower respiratory infections	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	76.01233	70.93707	81.63021	GBD	Infectious Diseases
Upper respiratory infections	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1687.1866	1495.9138	1904.1667	GBD	Infectious Diseases
Other cardiovascular and circulatory diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	413.10512	296.124	559.85977	GBD	Cardiovascular
Otitis media	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1163.4792	1005.1477	1366.66065	GBD	Other
Chronic obstructive pulmonary disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	3654.5634	3250.1157	4101.5074	GBD	Immunology
Meningitis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	17.941948	14.062926	23.603295	GBD	Infectious Diseases
Encephalitis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	64.88226	45.394385	83.431206	GBD	Other
Pneumoconiosis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	15.894044	12.743805	19.637358	GBD	Other
Diphtheria	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	0.0003877116	0.0003074278	0.00049664908	GBD	Infectious Diseases
Asthma	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1812.8213	1508.8136	2215.2646	GBD	Immunology
Whooping cough	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1.9033367	1.1843825	2.9278097	GBD	Infectious Diseases
Interstitial lung disease and pulmonary sarcoidosis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	47.333422	39.971195	56.35161	GBD	Immunology
Acute hepatitis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	257.1209	220.46452	299.9718	GBD	Metabolism
Tetanus	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	0.18636412	0.11805976	0.27289752	GBD	Infectious Diseases
Cirrhosis and other chronic liver diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	27948.445	25919.014	30054.447	GBD	Immunology
Leprosy	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	0.52780947	0.41282665	0.65943223	GBD	Infectious Diseases
Other unspecified infectious diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	342.8765	328.16087	355.13765	GBD	Infectious Diseases
Measles	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	0.042936838	0.042322108	0.04353992	GBD	Infectious Diseases
Appendicitis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	11.1785404	8.933029	14.437613	GBD	Other
Esophageal cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	39.450073	31.14457	48.825468	GBD	Oncology
Varicella and herpes zoster	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	78.73443	63.58363	96.08509	GBD	Infectious Diseases
Paralytic ileus and intestinal obstruction	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	9.102314	8.746821	9.481356	GBD	Other
Stomach cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	87.728706	66.6024	110.48819	GBD	Oncology
Liver cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	18.578584	14.362742	23.833144	GBD	Oncology
Inguinal, femoral, and abdominal hernia	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	116.27653	94.8176	141.59455	GBD	Other
Larynx cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	15.807625	12.240579	20.363915	GBD	Oncology
Leishmaniasis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1.0497614	0.4380304	2.535029	GBD	Infectious Diseases
Tracheal, bronchus, and lung cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	91.63629	73.79508	111.10321	GBD	Oncology
Inflammatory bowel disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	11.933272	10.058779	14.300914	GBD	Immunology
Breast cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	280.66093	224.55633	342.0826	GBD	Oncology
Cervical cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	52.152784	37.727758	69.54731	GBD	Oncology
Vascular intestinal disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	0.8557903	0.71198774	1.010864	GBD	Other
Schistosomiasis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	801.2043	627.4407	1051.9787	GBD	Infectious Diseases
Uterine cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	36.475356	25.492787	50.622993	GBD	Oncology
Prostate cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	46.560046	31.934123	61.84844	GBD	Oncology
Gallbladder and biliary diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	5936.524	4999.762	6992.569	GBD	Other
Cysticercosis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	50.268834	34.083205	69.99215	GBD	Infectious Diseases
Colon and rectum cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	263.81628	213.83653	319.3332	GBD	Oncology
Pancreatitis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	34.979085	24.492526	49.848657	GBD	Metabolism
Cystic echinococcosis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	8.099574	6.087974	10.459917	GBD	Infectious Diseases
Lip and oral cavity cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	15.571954	11.937798	19.655195	GBD	Oncology
Nasopharynx cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	24.669888	19.31814	30.713386	GBD	Oncology
Alzheimer's disease and other dementias	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1242.4581	1061.3652	1438.4037	GBD	Neurology
Other pharynx cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1.8312612	1.4151882	2.3541486	GBD	Oncology
Gallbladder and biliary tract cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	5.8537156	3.6785852	7.611745	GBD	Oncology
Parkinson's disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	363.96855	307.90993	435.369	GBD	Neurology
Trachoma	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	0.8116471	0.5439989	1.1685327	GBD	Infectious Diseases
Dengue	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	0.11493751	0.02823592	0.3971932	GBD	Infectious Diseases
Pancreatic cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	6.9205904	5.490736	8.5991924	GBD	Oncology
Malignant skin melanoma	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	5.8720805	3.0678853	7.9069345	GBD	Oncology
Idiopathic epilepsy	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	218.8173	155.80503	288.77987	GBD	Neurology
