Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Acne vulgaris,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0008117076931669,0.0005042533586718,0.0012746886042506,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.038219117000000004,0.034795770000000004,0.04249375699999999,GBD,Other
Acne vulgaris,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0008484009464828,0.0005342367528161,0.0013300207777398,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.040039200000000004,0.03690892,0.04330558699999999,GBD,Other
Acne vulgaris,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0007364106197504999,0.00046352227209159997,0.0011477671559594,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.034697413,0.032357294,0.037311573,GBD,Other
Acne vulgaris,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0007642202773411999,0.0004836476695273,0.0011804744616751,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.035937026000000004,0.033045806,0.039283976,GBD,Other
Acne vulgaris,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0008775489562702001,0.0005518430895216,0.0013761352250779,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.04138162,0.038305227,0.04469071299999999,GBD,Other
Acne vulgaris,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.0008082440119843799,0.000500581645336236,0.00125682864339281,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0380669729934485,0.0345100569599863,0.0424893547671831,GBD,Other
Acne vulgaris,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.0007713697443129659,0.00048516398668532404,0.00120856266058825,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0363103417055352,0.0334129340953967,0.0397124520429586,GBD,Other
Acne vulgaris,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.0008427201202103559,0.000521337314759425,0.00132436019471613,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.039808174268911395,0.0366106011855199,0.043203670519573495,GBD,Other
Acne vulgaris,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.0007307554333127101,0.000458017531852693,0.00114792901853548,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0344539040712601,0.0322058020622619,0.0370471210840791,GBD,Other
Acne vulgaris,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2023,0.000872565167830883,0.000548803664278691,0.0013692654932650299,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.041168446301308205,0.038228330577399404,0.0446299689334874,GBD,Other
