Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0092140158436884,0.0063317369041809,0.012760393400455,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.33251277,0.31238564999999996,0.35380992,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00910829311088658,0.006311450491725539,0.0126645043376719,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.324888697906214,0.30706987668652697,0.34479353159639803,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00932271361736614,0.006466422435548049,0.012951590842611499,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.33108401377901203,0.31311341780396096,0.351731523669001,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00953955168839238,0.006622807061486531,0.0132347854188122,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.337249533033798,0.319049201320924,0.35859630004530196,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00975364975398676,0.00677652354931271,0.0135117328632096,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.34328894104463603,0.32459131170885297,0.36511867927230696,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00997262035363651,0.0069332425681399,0.013791881368187901,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.34930861096929494,0.330419386168579,0.37151267546975497,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.0102032878422572,0.00709825216969581,0.014089298597135801,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.35543716448357104,0.335967509711651,0.377961881653007,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.010438870786730399,0.007266806379859741,0.014395908285150001,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.36155594477279895,0.34184161753975195,0.38436508292749505,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0106724979538364,0.00743417200623196,0.014704118723501799,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.36753443138132,0.347504633925567,0.390803716989307,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0108987545293428,0.0075965211360174605,0.0150058288754234,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.373288748575074,0.35256858461558704,0.39686718012237304,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.011125464364806601,0.007760008256578,0.0153029562736722,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.37894016695129595,0.357336590404624,0.402597058851263,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.011359170706076,0.007929396242271219,0.015603325394321,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.38459836559355,0.36232487879977404,0.408316185252483,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.0115923615050087,0.008099026427582251,0.0159010701977008,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.390123175640903,0.367609133844361,0.413985970174361,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.011818109193379701,0.00825930023655139,0.0161894753506823,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.39537933873014197,0.372227989686886,0.41964551245123805,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.0120313468508652,0.00840881381218274,0.0164650259597078,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.40029012323627905,0.376546371543874,0.425082940929632,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.012239806648798599,0.0085544335988925,0.0167459176227442,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.404999711331414,0.380822583192992,0.430091448966274,GBD,Other
Age-related and other hearing loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.0124511839201905,0.00870209395496104,0.0170346447226614,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.40965004197342997,0.385160975061932,0.434844104140091,GBD,Other
