Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0018272025285378,0.0013798386027847,0.0024250382010305,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.013181495,0.011272696,0.015456066499999999,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.0018786089145664,0.0014119795348030602,0.00243825066641534,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.013644439170650401,0.011720465474293802,0.0159905042171789,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.0018788220254344402,0.00141383781101345,0.00243733813607218,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0136392382944244,0.0117341685489923,0.0159629941346199,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00187929825647071,0.00141201274750734,0.0024387615347491003,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0136382575927461,0.0117516664857005,0.0159166047146766,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00188041696393067,0.00140856486315474,0.00244173824605421,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0136434010527626,0.0117586717323931,0.015883627403307402,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00188220405645619,0.00140686599360091,0.002444580342603,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0136549735413191,0.0117532888185551,0.0158615089667756,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00188451884828718,0.00140509760302179,0.00244766689394692,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0136710686366981,0.0117379732263905,0.0158427610530722,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00188720797643465,0.00140561315786099,0.00244964887040456,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.013690720448652001,0.011731741756006,0.0158314262772128,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.00188994962690271,0.00140512258883945,0.0024554784672413898,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0137130729842329,0.0117609328681489,0.015831771222296,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0018927953016023,0.0014085529206375,0.00246079846605988,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.013736872453286001,0.0117904090404359,0.0158500050583046,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.0018957463984615001,0.0014119265647662,0.00246443468042192,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.013764493931315801,0.0118170550700088,0.015882836024473,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.0018989908568208301,0.0014142593803830202,0.00246356033257803,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.013795627718640902,0.0118415288655582,0.0159333812016661,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.00190199232427715,0.00141676131401728,0.00246458627702799,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.013826586043770602,0.0118710706172189,0.0159923898608081,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.00190459932169578,0.0014169789706486302,0.0024672240183047298,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.013853948901321802,0.0119072270837105,0.0160385978194963,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.0019070480848402,0.00141587450511872,0.00247528449514247,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0138738894369335,0.0119309969485895,0.016088185490954098,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.00190969482952981,0.00141653631901938,0.00248165925399743,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0138952273154361,0.011959130841628801,0.0161073494870288,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.0019129626553138499,0.00141879564024514,0.00249018161663134,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.013918962689424599,0.0119814822496798,0.0161348799783953,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.0019157906890764599,0.00142115503259773,0.00249390430493865,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0139389346206082,0.011999719418733101,0.0161930876503548,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.00191738910380015,0.0014228144151434501,0.0024993817972438297,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.013949540210867499,0.012031130524602699,0.0162340923264514,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.00191773134956961,0.0014236974476117398,0.00250091936571083,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0139448116760833,0.012048088726971301,0.016245347130132,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.00191858541135258,0.00142470409729001,0.00250490793338794,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.013940313317508802,0.012042513692034199,0.0162496017131581,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.0019200326826988399,0.00142714440998719,0.00251040868171242,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.013940041735702501,0.0120241211257903,0.0162503296463127,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.00192182922398926,0.00142943625713844,0.00251272416712254,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0139403196330589,0.012009741129482599,0.0162559115401094,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.00192358321743311,0.00143049331295975,0.0025107776633124103,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0139376265587837,0.011998251932416599,0.0162595406837193,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.00192448706460975,0.00142950006733222,0.00250883258394627,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.013927606668560199,0.011988224682263501,0.0162361403424757,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.0019262681141938001,0.0014280846840004902,0.00251381334550274,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0139211837601951,0.0119872445910839,0.016193684085694,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.00192888756213971,0.00142662237573695,0.00251915781409613,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0139211117188449,0.0120067721170557,0.0161764730885007,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2049,0.00193224011284765,0.0014236172745514199,0.00252426601774301,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.013924696709345801,0.0120208410018607,0.0161423583732458,GBD,Other
Alcohol use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2050,0.0019353772947615,0.00142039633208513,0.00252900544826753,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.013929166761983499,0.012039059558685,0.0161393349693065,GBD,Other
Alcohol use disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0038705983347672,0.0030796008427963,0.0048826358332318,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.023718696,0.020234203,0.027697021,GBD,Other
Alcohol use disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0043259324282117,0.0036223044113387,0.0052052646419974,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.02344955,0.020191079,0.027054949999999998,GBD,Other
Alcohol use disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0017555814690953,0.0012421212180425,0.0023898307768701,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.016168483,0.013977090000000001,0.018688506,GBD,Other
Alcohol use disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0018695360751927001,0.0013460224802246,0.0026190962419166,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0163132,0.013699546,0.019765405,GBD,Other
