Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Alzheimer's disease and other dementias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0073718328590347,0.0035319711269913,0.0147272997400115,GBD,Neurology,Prevalence,"Rate (per 100,000)",Past estimate,0.012424581,0.010613652,0.014384037,GBD,Neurology
Alzheimer's disease and other dementias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00754454247267366,0.00372148535447244,0.016950411443881302,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0128008102326145,0.010895276205462701,0.014851757722106099,GBD,Neurology
Alzheimer's disease and other dementias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00785346695427094,0.00386946888482144,0.0175528610003922,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.013337985291151398,0.0113541544579478,0.015490314649918801,GBD,Neurology
Alzheimer's disease and other dementias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00817289770542613,0.0040232386347955704,0.0181862637769416,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.013903150876644699,0.0117976359750022,0.0161546192498991,GBD,Neurology
Alzheimer's disease and other dementias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0084859202975342,0.00418068034383064,0.0187947170280159,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0144636458828706,0.0122705918929144,0.0168292071161192,GBD,Neurology
Alzheimer's disease and other dementias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.0088363100233911,0.00436334368063081,0.0194931341854432,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0150747884900717,0.0127523951812327,0.0175566750601398,GBD,Neurology
Alzheimer's disease and other dementias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00924943096679938,0.00457316667874683,0.0203534607264773,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0157732998767715,0.0133226479570896,0.0184371671074278,GBD,Neurology
Alzheimer's disease and other dementias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00969797899111001,0.00480234455140186,0.0212878193598011,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0165233371450778,0.013953454627373001,0.0193318731611158,GBD,Neurology
Alzheimer's disease and other dementias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0101560536901731,0.00504070181890266,0.0222532818134506,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0172897672349674,0.014593637802979599,0.020255808387462902,GBD,Neurology
Alzheimer's disease and other dementias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0106045092393698,0.0052631260028639095,0.0232022137170764,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0180338295655871,0.0152084772968459,0.0211815236703354,GBD,Neurology
Alzheimer's disease and other dementias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.0110868705250309,0.0054981628951524,0.0242046027629878,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.018812115842242,0.015834726315795203,0.0221490097838294,GBD,Neurology
Alzheimer's disease and other dementias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.0116338185231123,0.00576495922680151,0.0253022623350175,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0196700089418775,0.016505034531916297,0.0232204313202016,GBD,Neurology
