Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Anxiety disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0044683230271568,0.0030970767147572003,0.0060674319544626,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.03758595,0.032249253,0.043638445000000005,GBD,Other
Anxiety disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00401675993197265,0.0028310668777136697,0.005428806779228649,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0337950943268218,0.0297097698800445,0.038418257322285196,GBD,Other
Anxiety disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00405197035234897,0.00285822604663146,0.0054746817644411305,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0341151441210756,0.0300007654447487,0.0387707311252052,GBD,Other
Anxiety disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.004083944305363759,0.00288262584251269,0.0055151134347836105,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0344102460278463,0.030248625460276398,0.0390896916172022,GBD,Other
Anxiety disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0041087866580673,0.0029012568162991603,0.0055479134602449305,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.034648058661330604,0.0304476490626376,0.0393337338817002,GBD,Other
Anxiety disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.0041306491884125,0.0029181193830762698,0.00557573109800833,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0348629471356758,0.0306324018249151,0.0395412745053847,GBD,Other
Anxiety disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00415123524963191,0.00293388480721753,0.00560083848321854,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0350696961750937,0.0308022994365802,0.0397287473973099,GBD,Other
Anxiety disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.0041683143290010905,0.00294666022001251,0.00561936752222622,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.035249248813162,0.030968538034889397,0.039905684328043596,GBD,Other
Anxiety disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.00417980971975685,0.00295278488183505,0.00563118001255567,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0353838694223631,0.031100703599899998,0.0400357586935389,GBD,Other
Anxiety disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00418283978048103,0.00295081242932445,0.00563125945818683,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0354490686987081,0.0311654813882021,0.0401384564654807,GBD,Other
Anxiety disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00418178802429522,0.00294606463874005,0.0056262182074532496,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0354815196257632,0.0311946289116946,0.0402662903472795,GBD,Other
Anxiety disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.00417814978285106,0.00294148546890034,0.00561944634383778,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0354944435842368,0.0312088582764524,0.0403733912700371,GBD,Other
Anxiety disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.00417245039279641,0.0029373325672659,0.00561512994696929,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0354906135438733,0.031210474395863597,0.0404498017566194,GBD,Other
Anxiety disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.00416553252159597,0.00293207123652926,0.005611430090179761,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.035475597922225204,0.0312066524426028,0.0404818256907175,GBD,Other
