Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0010561089988826,0.0007742796912695999,0.0014089412114224999,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.018128213,0.015088136,0.022152645999999998,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.0009844876550799,0.000740032620446265,0.00130442122934427,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0167739132371784,0.0139917316933478,0.020406089352291698,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.000962057277477304,0.000726684750493811,0.0012729935735518699,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0163124785761827,0.0136248155420487,0.0197860748713825,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.0009421561141954599,0.000710387823151521,0.00124331208654005,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0159094076574261,0.0132691509910248,0.019257714362083,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.000920530126023456,0.000695980407625193,0.00121587757532521,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.015460854616253801,0.012896412622208,0.018694687340031702,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.000899433251821511,0.0006820186706376261,0.00118152391637635,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0150131119333284,0.012566235232333299,0.0181094524336465,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.0008802343444420011,0.0006684238279284359,0.00115248657112643,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.014582176292834799,0.0122366487745981,0.0175842592475217,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.000862718732083629,0.00065642563110075,0.00112262142995717,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.014181546137534301,0.0118947776378315,0.017036579677452302,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0008473102831642779,0.000644900848132793,0.00110343591330005,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0138381479879409,0.0116355062693306,0.016591678019188,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0008315164579206799,0.0006325836352449521,0.00108069307087251,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.013488178650048201,0.011345594565754,0.0161779545728324,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.0008168637059383301,0.0006215025566795449,0.00106191525070228,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.013155242159296199,0.011048924682190901,0.0157425551839015,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.000803626285620108,0.000610299116466699,0.00104245565910863,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0128381326593502,0.0107488915052929,0.0153126593014086,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.000791794736652838,0.000600817332159316,0.00102699926944883,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0125505206980637,0.0104666481336892,0.0149658212996798,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.000781541013709085,0.0005925161480566301,0.00101370984707381,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0123129206799807,0.010215416556689899,0.0146812648064122,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.000771063309905735,0.000584321200456553,0.00100110056852463,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0120798392851992,0.0100070040459075,0.0144137600281286,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.0007615820326827151,0.000576689555251079,0.000989541640907629,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.011869957362766699,0.00979476293397614,0.014228297088929701,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.0007532150548555791,0.000569653466306712,0.000980468156024666,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0116764013700292,0.009591498041638169,0.0139958145275858,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.000745620118198981,0.000563961958230133,0.000972822929481477,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.011501081743448301,0.009399949458691761,0.0137988291071963,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.0007391454036248039,0.000558486856403905,0.0009621080327226671,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0113649170754286,0.009254785747445449,0.0136900587755111,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.000731500506013995,0.000551477400834416,0.0009532956964474179,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.011210351051099798,0.009075042345800791,0.0135560526312345,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.0007245217723743571,0.0005463749676840631,0.000946963925461814,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0110719727823454,0.00893128812478384,0.013513446270351,GBD,Immunology
Asthma,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.000718584313149673,0.00054137457284163,0.0009385232012932969,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0109456724789856,0.00879529130673887,0.013405453590657401,GBD,Immunology
