Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Atrial fibrillation and flutter,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0012014298815752,0.0009584015918125,0.0014694629248456,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.0077458169999999995,0.006145879599999999,0.010089665999999999,GBD,Cardiovascular
Atrial fibrillation and flutter,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00124481144621667,0.0009756284420185299,0.0015567098030588099,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00812217611562545,0.0064241723906550705,0.0106073044081221,GBD,Cardiovascular
Atrial fibrillation and flutter,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00129823810828946,0.00102005059472849,0.00161391300742282,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00843239625595736,0.00666434357123405,0.0110363017034026,GBD,Cardiovascular
Atrial fibrillation and flutter,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.0013530407358276,0.00106672814863214,0.0016758356217089101,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00875841038087969,0.0069186736987978305,0.011491156325898401,GBD,Cardiovascular
Atrial fibrillation and flutter,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0014058723946111602,0.00111215320636746,0.00173686526952662,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00907886897792879,0.007161957635481229,0.0119270598454878,GBD,Cardiovascular
Atrial fibrillation and flutter,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00146383346736514,0.0011631646315619,0.0018090241712345099,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0094159231041064,0.00742375957956182,0.012396666180207001,GBD,Cardiovascular
Atrial fibrillation and flutter,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00153079475818668,0.00122106693359197,0.00188752868792978,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.009784446409249279,0.007698889400571621,0.012908099703351,GBD,Cardiovascular
Atrial fibrillation and flutter,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.0016025888738084,0.00128315566829048,0.0019836468228842698,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0101705119867241,0.00799747803543955,0.0134690473477271,GBD,Cardiovascular
Atrial fibrillation and flutter,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0016765555891206099,0.00134507567561608,0.0020813180804548,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0105664987448672,0.00831817548276138,0.0140025732555373,GBD,Cardiovascular
Atrial fibrillation and flutter,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00174948982893178,0.00140737845562667,0.00217714435515483,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.010951222064840099,0.00860469457307917,0.014525260190429401,GBD,Cardiovascular
Atrial fibrillation and flutter,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00182761501948073,0.00147410615687593,0.00227989077563971,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0113463949134059,0.00888755485988574,0.015050515021921501,GBD,Cardiovascular
Atrial fibrillation and flutter,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.00191567671045564,0.0015487148489173501,0.00238607768026232,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0117692302829254,0.00922123920181298,0.0155952486416235,GBD,Cardiovascular
Atrial fibrillation and flutter,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.00200938589191227,0.00162417022804422,0.0025118903980794302,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0122089968921032,0.00953619553445336,0.0161652777715771,GBD,Cardiovascular
Atrial fibrillation and flutter,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.0021048353281267,0.0017003108139825801,0.0026338428873637796,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0126530058816454,0.00987448339373762,0.0167471013638805,GBD,Cardiovascular
