Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Autism spectrum disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0012062803775709,0.0008156334959554999,0.0017006925943242998,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0064408565,0.0053692097000000005,0.007674734,GBD,Other
Autism spectrum disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.0011911175842031299,0.000800412513497181,0.00168053953113813,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.006366713727612941,0.0052961991913599606,0.00758254456323745,GBD,Other
Autism spectrum disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00118855909010693,0.000798542768339806,0.00167638681828647,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00635752114206676,0.00528686507747576,0.00757087653669944,GBD,Other
Autism spectrum disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.0011860347021300799,0.0007967952927571589,0.00167227740252703,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00634849488253559,0.005277185946158399,0.00755952051327016,GBD,Other
Autism spectrum disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00118344580613623,0.000795067796941605,0.0016680953818000298,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00633896970260213,0.00526709658437507,0.00754768581944577,GBD,Other
Autism spectrum disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00118073877988172,0.000793367042387595,0.00166385773827716,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0063287833238468,0.0052564291503574894,0.007535122585002851,GBD,Other
Autism spectrum disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00117781396373579,0.0007916638407191979,0.00165940615871228,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00631751687397973,0.00524478927466145,0.007521352095223811,GBD,Other
Autism spectrum disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00117480082069714,0.0007899407913199769,0.00165487149794312,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00630576669845355,0.00523268629650152,0.0075070865480791,GBD,Other
Autism spectrum disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.00117187223552302,0.000788261650734183,0.00165044736098776,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00629436309191245,0.00522085921110019,0.00749328247207742,GBD,Other
Autism spectrum disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0011689628517352702,0.000786532157281883,0.00164599059742497,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.006282848905649559,0.00520896352214404,0.007479395083252369,GBD,Other
