Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Bacterial skin diseases,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2029,0.000699942097453276,0.000612947919010058,0.000778884938262501,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00458382106778572,0.00431934846269,0.00485355301838402,GBD,Infectious Diseases
Bacterial skin diseases,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2030,0.000720254352583273,0.000630269733930416,0.000808743618949192,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.004673551546663849,0.00437367938647563,0.00496819837641368,GBD,Infectious Diseases
Bacterial skin diseases,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2031,0.0007405684985353829,0.000646628788545211,0.0008343857153601841,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00476001739849221,0.0044494202898076995,0.00507335127872638,GBD,Infectious Diseases
Bacterial skin diseases,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2032,0.000762256886050032,0.0006631058707858951,0.000863689094239965,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00485011831906539,0.004511985065929799,0.005199059913772491,GBD,Infectious Diseases
Bacterial skin diseases,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2033,0.0007842914258104289,0.0006797232350966109,0.000896118394232287,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0049383144397746204,0.00457154051333618,0.0053120827238869505,GBD,Infectious Diseases
Bacterial skin diseases,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2034,0.000807328046573835,0.000695083053811899,0.0009353738396954,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00502776498698639,0.00462984140088233,0.00542657284991891,GBD,Infectious Diseases
Bacterial skin diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2035,0.0007081336068696549,0.000595826549303418,0.000829666620981548,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00735698408514548,0.0066847805454297,0.008059829039595571,GBD,Infectious Diseases
Bacterial skin diseases,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2035,0.000830678648323823,0.000711408278241867,0.000967808355040785,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00511799418433578,0.004699326328018469,0.00551343878012857,GBD,Infectious Diseases
Bacterial skin diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2036,0.000731183993065669,0.00061136474649987,0.0008563308959496941,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00752130151719489,0.00681964357037941,0.00829200215813867,GBD,Infectious Diseases
Bacterial skin diseases,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2036,0.0008544596566455129,0.000728300326534696,0.000999805443222438,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00520891357891042,0.0047653048576323,0.00563874966744662,GBD,Infectious Diseases
