Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Bipolar disorder,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0019363176953047,0.0011897558023678,0.0028373112485647997,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.009173846,0.007231293,0.011652612,GBD,Other
Bipolar disorder,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0016920283608862,0.0011103406979321,0.0024083086376011998,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.008041161,0.0068232818,0.009603564,GBD,Other
Bipolar disorder,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0020391732505578,0.0013420411446814,0.0029096823037464,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.009685314,0.008338882,0.011214833,GBD,Other
Bipolar disorder,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0020065548156101,0.0012510714481345,0.0029176559213794,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0094736,0.0074691954,0.012011187999999999,GBD,Other
Bipolar disorder,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Past estimate,2022,0.002241145309878,0.0014825832201266998,0.0032178000555744,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.010608019,0.00906685,0.012440822,GBD,Other
Bipolar disorder,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.0019384213885951,0.0011922640393886,0.0028146969854632403,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00919577964636969,0.007258301927120669,0.011682282529937199,GBD,Other
Bipolar disorder,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.00200885679090537,0.0012717521496834,0.00291245166739093,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00949632692937724,0.00748823806593676,0.012045316163151399,GBD,Other
Bipolar disorder,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.00178089387549331,0.00114227354259056,0.00254450276468479,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00847262362565698,0.007159364274021579,0.0100193272053445,GBD,Other
Bipolar disorder,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.0020411965463743202,0.00134157119917607,0.0029310784926625797,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.009705300806162,0.00836596450561312,0.0112267480952771,GBD,Other
Bipolar disorder,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2023,0.00224249256221922,0.0014847365447482202,0.00322273103218566,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.010626204910908,0.00907008426268041,0.0124678076485204,GBD,Other
Bipolar disorder,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2024,0.00194147615367508,0.0011946410551423,0.00281831749597041,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.009212760655766561,0.00727279101772781,0.0117052298146676,GBD,Other
Bipolar disorder,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2024,0.002014001945277,0.0012740961642778799,0.00291929199672561,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00952229423136532,0.00750683324697179,0.0120739778490499,GBD,Other
Bipolar disorder,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2024,0.00177797316034805,0.0011413199813824799,0.00254254880464851,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00846119312050723,0.00714514846072819,0.010002177691985201,GBD,Other
Bipolar disorder,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2024,0.0020440251383928797,0.00134362654764317,0.00293447940777986,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0097228205446911,0.00838224781375772,0.011240226013063,GBD,Other
Bipolar disorder,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2024,0.00224527435198394,0.0014879055754736898,0.0032260731049707997,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.010641877762085502,0.00907763569188103,0.0124853200585074,GBD,Other
Bipolar disorder,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2025,0.0019442756744394898,0.00119750457014975,0.0028213918884980897,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0092285413529039,0.00729070181050891,0.0117201780649306,GBD,Other
Bipolar disorder,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2025,0.00201878312024785,0.00127635823336414,0.00292501956755774,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00954665241322032,0.007523688401713609,0.012100608685846401,GBD,Other
Bipolar disorder,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2025,0.0017755491715726,0.00114019235363526,0.00254134540764693,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00845196212018231,0.00713338810978855,0.00998780664064215,GBD,Other
Bipolar disorder,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2025,0.00204663953484316,0.00134503431869601,0.00293811233835536,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00973938883336275,0.00839731443494136,0.011268632116772901,GBD,Other
Bipolar disorder,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2025,0.00224822731129078,0.00149121919646129,0.00322956526545899,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0106582645150627,0.00908578739829648,0.0125047270012922,GBD,Other
