Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.002506036884718,0.0022519505639373,0.0027200190003385002,GBD,Oncology,Prevalence,"Rate (per 100,000)",Past estimate,0.0030699186,0.0028162054,0.0033165084000000003,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.0024800614043342002,0.00223674384513293,0.00267130855487208,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00307741219232205,0.00283207264503783,0.00330637788487418,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2024,0.00252363583927248,0.0022482526754048003,0.00273701017659984,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00313692441501873,0.0028864395559837,0.00337113761909174,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2025,0.00256499927592182,0.00228965000258462,0.0027919046521535803,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0031976363327561002,0.0029387929606986105,0.00344467357269625,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2026,0.00260190158901131,0.00232597432674603,0.0028358670906623398,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00325848575134369,0.0029924469705106703,0.00351383220170826,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2027,0.00264138573954594,0.00234232199807809,0.0028835059123800697,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00331954949493343,0.00304332903719618,0.00358019080538943,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2028,0.0026830149814918297,0.00237522574186946,0.00293832852384889,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00338032562599782,0.00310293799626554,0.00364874642729426,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2029,0.00272576156482403,0.00240567110929991,0.00298614639158176,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00344215519823102,0.00315741947368163,0.00371394907163571,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2030,0.00276873567310647,0.00245518721331252,0.0030409920217835703,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00350564810791971,0.00321043276032467,0.00377773035065174,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2031,0.00281173399783933,0.00249736089570959,0.00308478960176716,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00357030780547623,0.00326450635065682,0.00384178769648198,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2032,0.00285697976948664,0.00252836492259374,0.00314518088899362,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00363774646267351,0.00331838286138314,0.00391889089518036,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2033,0.0029026727135401,0.00254613590504607,0.00320033359475355,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0037071466278956098,0.0033736303858873202,0.00399398534886425,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2034,0.00295113223242311,0.0025906801424989798,0.00325173650336885,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00377735105687335,0.0034359541086493696,0.00407901877908454,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2035,0.00300197994218605,0.00263621021321373,0.00332116128916734,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00384568905728491,0.00349900624297852,0.00414898068639894,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2036,0.00304820186317937,0.0026692524024866902,0.00336623118951484,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00390998871546398,0.00355560764822685,0.00422033655180017,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2037,0.0030938355731005697,0.00269742934067093,0.0034236982401224902,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00397053781246564,0.00360185657498752,0.00428736620318724,GBD,Oncology
Bladder cancer,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2037,0.00248991230015435,0.00218841615187261,0.00278265243349064,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00272095577724875,0.00245771892758414,0.0029930074759453203,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2038,0.0031453193514370996,0.00274555839031325,0.00349173812535625,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.004030442432666479,0.00365307173412957,0.004363650447986121,GBD,Oncology
Bladder cancer,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2038,0.00251412022176165,0.00220374101476995,0.00282705764146566,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00274873108230748,0.00248017101405365,0.0030241574646437,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2039,0.0031953891518924898,0.00278049499618994,0.00354690606952596,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00408907457232701,0.00369621430817815,0.00443314354956195,GBD,Oncology
Bladder cancer,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2039,0.00253690232449799,0.00221603168875327,0.00285297607137625,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00277470060344955,0.0025060160936866602,0.00305167682682305,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2040,0.0032439182554999703,0.0028034634282071104,0.0036107471340033697,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00414459173025119,0.0037444500353454903,0.00449963364967966,GBD,Oncology
Bladder cancer,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2040,0.00255801681116685,0.00223585156031195,0.0028782258148538397,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00279816469989092,0.00252810355098512,0.00307645561279465,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2041,0.00328825384036481,0.00286150542041065,0.0036488937825884197,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0041970348387269,0.00378752099735855,0.004565183582612859,GBD,Oncology
Bladder cancer,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2041,0.00257747352219812,0.00223789113437665,0.0029152875997745004,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.002819077948776,0.00253955795749955,0.003099041105928,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2042,0.00333172049154316,0.00288454480032722,0.00370187455697937,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00424785547644613,0.0038341719822709503,0.00460990173846133,GBD,Oncology
Bladder cancer,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2042,0.00259632807956427,0.0022514094763360503,0.0029522683394349798,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00283755176795192,0.0025498747404359198,0.00311847017511491,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2043,0.0033787568963610302,0.00290397917543451,0.00376037032298764,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.004296375834477909,0.00386978247705925,0.00467312838160161,GBD,Oncology
Bladder cancer,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2043,0.0026144489265813504,0.00225316764485987,0.0029629006357394898,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00285534262877039,0.0025615626347729,0.00314783217933544,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2044,0.00342536369598502,0.00293176779819329,0.0038261260193765798,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00434281813765916,0.00390196605730328,0.0047243516982977095,GBD,Oncology
Bladder cancer,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2044,0.00263188095276745,0.0022613448110902603,0.0029851648624689897,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00287093674299866,0.0025724791619703502,0.00317530708058468,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2045,0.0034729911917849897,0.00298512974072095,0.0038836009925484398,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00438581648012869,0.00393113695786036,0.0047733154957701205,GBD,Oncology
Bladder cancer,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2045,0.00265124057193373,0.00228095351252766,0.0030051694471974703,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00288395286268698,0.0025790816634211,0.00318898744488841,GBD,Oncology
Bladder cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2046,0.0035191556116000496,0.00302219316380825,0.00393809917466262,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00442382696051161,0.00395653686842675,0.00480625786924761,GBD,Oncology
