Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Blindness and vision loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0042389219562994,0.0026933424994922003,0.0066500203335153,GBD,Ophthalmology,Prevalence,"Rate (per 100,000)",Past estimate,0.22153856,0.17173372,0.28660009999999997,GBD,Ophthalmology
Blindness and vision loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00473918091670943,0.00295534545138772,0.0074631492496811305,GBD,Ophthalmology,Prevalence,"Rate (per 100,000)",Reference,0.257808106235215,0.19920202451369298,0.331772284217313,GBD,Ophthalmology
Blindness and vision loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00483166080295105,0.00302574826210188,0.0075887006352149,GBD,Ophthalmology,Prevalence,"Rate (per 100,000)",Reference,0.261401424273444,0.203026549946704,0.336735809018819,GBD,Ophthalmology
Blindness and vision loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00492306124395595,0.0030997499220555397,0.00771288248913433,GBD,Ophthalmology,Prevalence,"Rate (per 100,000)",Reference,0.26489204295859503,0.206281724886821,0.340888238362301,GBD,Ophthalmology
Blindness and vision loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00501447449571491,0.00317196327690349,0.007838805118816329,GBD,Ophthalmology,Prevalence,"Rate (per 100,000)",Reference,0.268371699321529,0.20876933327155198,0.344088319875015,GBD,Ophthalmology
Blindness and vision loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00510832230874714,0.00324435059133085,0.00796902039898506,GBD,Ophthalmology,Prevalence,"Rate (per 100,000)",Reference,0.271842082711106,0.211115098759125,0.34730960409128203,GBD,Ophthalmology
Blindness and vision loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00520724490895657,0.0033196583485364697,0.00810604095446531,GBD,Ophthalmology,Prevalence,"Rate (per 100,000)",Reference,0.27533029185069097,0.214185876863828,0.350473564407362,GBD,Ophthalmology
Blindness and vision loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.0053078477752623,0.0033936392005199296,0.00824555281453183,GBD,Ophthalmology,Prevalence,"Rate (per 100,000)",Reference,0.278766038980005,0.21748372680026298,0.353563252563392,GBD,Ophthalmology
Blindness and vision loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.00540602283231545,0.00346266300324355,0.00838187269007323,GBD,Ophthalmology,Prevalence,"Rate (per 100,000)",Reference,0.282044185478037,0.220871911679646,0.35685714411511604,GBD,Ophthalmology
Blindness and vision loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0055021985151231505,0.00353002811252404,0.0085156673556461,GBD,Ophthalmology,Prevalence,"Rate (per 100,000)",Reference,0.285214691857393,0.223398190973577,0.359873462945937,GBD,Ophthalmology
Blindness and vision loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00559887313032188,0.00359718242656599,0.00865001729037553,GBD,Ophthalmology,Prevalence,"Rate (per 100,000)",Reference,0.288318973196437,0.22580385736698602,0.362306146335645,GBD,Ophthalmology
Blindness and vision loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.00569904088696601,0.0036743711764264902,0.00878380957662322,GBD,Ophthalmology,Prevalence,"Rate (per 100,000)",Reference,0.291416652136395,0.227626480292946,0.36505150157142197,GBD,Ophthalmology
Blindness and vision loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.00579861134112022,0.00375114002390206,0.0089156653067674,GBD,Ophthalmology,Prevalence,"Rate (per 100,000)",Reference,0.29439201046338304,0.229722180469204,0.36769809624781896,GBD,Ophthalmology
Blindness and vision loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.005892728683964811,0.00382491176460265,0.009039879398191229,GBD,Ophthalmology,Prevalence,"Rate (per 100,000)",Reference,0.297097245289771,0.23184635553241598,0.370658312434456,GBD,Ophthalmology
Blindness and vision loss,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.00598149552243749,0.00389958194771732,0.00915805597549416,GBD,Ophthalmology,Prevalence,"Rate (per 100,000)",Reference,0.299549099543634,0.234405914486121,0.37382743235530497,GBD,Ophthalmology
