Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0021537293818593,0.0016440026255958,0.0027470266326867,GBD,Oncology,Prevalence,"Rate (per 100,000)",Past estimate,0.0028066093,0.0022455633,0.003420826,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.0021576901096250897,0.00168687950553156,0.00271699781736632,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00288264516529636,0.0023461762716988203,0.00351805147356096,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00217355038513473,0.0017061879541995298,0.00273897155885421,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00295056771817711,0.00241071425055965,0.00359633966284672,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00219324757186265,0.00173111160008191,0.0027572408922539103,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00302695583441182,0.00248457673700489,0.00368942071113439,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00220912443279134,0.00175414996678291,0.0027761661992823003,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00309423598638844,0.00253335197066391,0.00377987862521158,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00222503703307691,0.00176957436422645,0.0027921418908628697,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00316169745014919,0.00259304332815484,0.00386933743330472,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.0022409386068549,0.0017834092020532699,0.00281715919088548,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0032300686564765498,0.0026328763451968096,0.00396785719052809,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00225704553352648,0.00179357266262379,0.00285082133621666,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00329902027706934,0.00268052301651206,0.004054202742930241,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0022748254271032597,0.00181092961146829,0.00287314801093142,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00337214021379107,0.00272295375730261,0.00414535286884413,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00228967127671367,0.00181950077312731,0.0028996348574998805,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0034349932920119896,0.00277945919740594,0.00421222726833685,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00230358341777985,0.00182721497481331,0.0029296634298513,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0034947943529452905,0.0028356934367626298,0.00428200898192953,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.00231811492187681,0.0018283672113915698,0.0029465963072352903,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0035543333467175304,0.0028653878705268603,0.00434802619637745,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.0023330551518667302,0.0018293909084005301,0.00296768037120683,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0036136217904973,0.00291837344085491,0.0044241814071084,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.0023505264249497303,0.0018349665624981099,0.00299873249121933,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00367933873820283,0.00297345255209549,0.00453092733846773,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.00236692341586373,0.0018418521117121302,0.0030275488400599896,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0037380870018007,0.00302321137477487,0.0046200122296637695,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.00238471964729751,0.00184817718921544,0.00307026455208325,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00379648473293008,0.00306526666590539,0.00470985719068084,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.00240364491329006,0.0018523076495729001,0.00310843685279447,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00385482869557981,0.00311154565123984,0.00480398588057666,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.0024224778085453302,0.0018587253858405,0.00314960848430706,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0039121739813900306,0.00314389606984731,0.00489195963031972,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.00244362348554872,0.0018673456617093,0.0031976467851929603,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0039760119267947406,0.00319423996739882,0.00496600985805182,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.00246207627068006,0.00186990385800513,0.0032233714996500497,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00403284931062557,0.0032287766528856995,0.005046462909367709,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.00248032291911534,0.00187900929159362,0.003258551758589,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00408935976677534,0.00326584812472959,0.00512689864311014,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.00250031127266804,0.00188612444486652,0.0033129703796292,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00414778345444556,0.00330810110578422,0.00521720660661068,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.00252189981179098,0.0018954258101593398,0.00336767772862967,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00420812087799424,0.00334485635685453,0.00529991601165427,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.00254540033363123,0.00190921256154015,0.00340887934844321,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00427502892160743,0.00338938593994273,0.0053919481447583404,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.00256616581444296,0.0019124610869767698,0.00344972355467421,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00433481917673221,0.0034234272786801303,0.00547766869931472,GBD,Oncology
Breast cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.00258812780445986,0.00191577829541694,0.00348783040456617,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0043976100503994205,0.00345988481801587,0.00556207069384159,GBD,Oncology
