Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
COVID-19,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.0019749425973991,0.00140924104157389,0.00280790718078425,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0031339000278170696,0.0023583680886284297,0.00400931713400398,GBD,Infectious Diseases
COVID-19,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.00425192405120897,0.00247735560773602,0.00751355401251897,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0329558197153711,0.0209500075128128,0.050258274199124896,GBD,Infectious Diseases
COVID-19,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.00423226202834948,0.00243781499462968,0.007465452493338301,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0335510734041762,0.022586322223125198,0.0463131101592921,GBD,Infectious Diseases
COVID-19,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.00322139056739904,0.0019623281880023,0.005752172601630469,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0222140030792673,0.0168363104473189,0.0284460763099797,GBD,Infectious Diseases
COVID-19,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2023,0.00274517731731703,0.00159826116012827,0.0048688760271903405,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.022339643401628702,0.0154344909729663,0.0339413102546489,GBD,Infectious Diseases
COVID-19,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.00473572093226349,0.00296391282570783,0.00734264707716016,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.026255831763578298,0.0176285843171347,0.0373198888025896,GBD,Infectious Diseases
COVID-19,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2024,0.00367313943189692,0.00214329712448585,0.006480274680285009,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0282381543133147,0.0179590138790207,0.04305186007561,GBD,Infectious Diseases
COVID-19,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2024,0.0036501502272104,0.00210522825338288,0.00641775406131636,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.028750641953960397,0.0193569025552012,0.039686900571207,GBD,Infectious Diseases
COVID-19,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2024,0.00277407602411938,0.0016941650271539799,0.00494609927318247,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0190014669515089,0.014402018107014601,0.024323430989387697,GBD,Infectious Diseases
COVID-19,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2024,0.00237049033065796,0.00138062803406777,0.00419068044509795,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.019158362776634397,0.0132402086756781,0.0290996029795596,GBD,Infectious Diseases
