Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0015029017716967998,0.0013583555866757998,0.0016749471775647001,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.0027339275,0.0021183447,0.0035005698,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.00141794820638842,0.0012402998416471,0.00158439955125115,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00271265582676594,0.0020816564806530103,0.00341285364540289,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2024,0.00142616409119698,0.00125269106692556,0.0016002840768228502,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00271790869764796,0.0020918553891694,0.00343120487611084,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2025,0.00143050940565687,0.00125655253025195,0.0016054612021843202,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0027213709436655397,0.0020921644035433703,0.0034414765080888,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2026,0.00143353701260001,0.00125350296529203,0.00160773979001546,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0027286323970947502,0.00209985906744548,0.00345253447460975,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2027,0.0014360982096416899,0.0012554252248567,0.00161880777583784,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00273539894958145,0.00208758252399644,0.00347505979304884,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2028,0.0014423019011743099,0.00125371181789266,0.00163122911440033,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00274789133991098,0.00210201520448458,0.00350997686086934,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2029,0.0014503632208396201,0.00125587810769131,0.00164483983478038,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00276413454418475,0.00209444304021464,0.00352192113721346,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2030,0.0014580599271786,0.00126153471824671,0.0016487912031632002,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.002781785298066,0.0020948738952789297,0.00356639757406127,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2031,0.00146684458010638,0.0012686280075960802,0.00165789073813248,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00280087775488746,0.00210999239345409,0.00361520203209861,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2032,0.00147664395486566,0.00126885696336296,0.00166651428732732,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00282166707889975,0.0021289780787961997,0.0036591583949681303,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2033,0.0014870103527941001,0.00126930900990224,0.0016871763002561,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00284246278875359,0.0021311624665188,0.0037053277143967,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2034,0.001500507947304,0.00128646105943386,0.00171525303359383,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00286702461011992,0.00214800364509019,0.00376401051967404,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2035,0.00151587834214101,0.00129312236168974,0.0017349169689168098,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00289373512113008,0.00215953546497963,0.00380181216463056,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2036,0.00152897712337558,0.00130077312379995,0.00175286341872952,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00291412026634519,0.00216831978753097,0.0038223802241616604,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2037,0.00154237479396419,0.0013074573427765501,0.00175535304386938,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00293175850674658,0.00217361218263682,0.00385268075170871,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2038,0.00155773341035868,0.0013152139024189401,0.00178088362420993,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00295118290344553,0.00218881919741595,0.0038694707732445403,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2039,0.00157297118124375,0.00132477836701644,0.00179869395879931,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0029684062983930397,0.00219619261459253,0.00388897966697986,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2040,0.00158707543497899,0.00133405394856785,0.00183532010007657,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00298486513042808,0.0021880021988938,0.00390245357648781,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2041,0.00159866469843097,0.0013467245100668402,0.00184752772289191,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00299608666487169,0.00220687544411238,0.00396717520602514,GBD,Cardiovascular
Cardiomyopathy and myocarditis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2042,0.0016088904265476902,0.00135884614953095,0.00185160653290772,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00300514043338789,0.00221297225533606,0.00394089336184981,GBD,Cardiovascular
