Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Chronic kidney disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0043827114791001,0.0037043100079070003,0.0051064490505564,GBD,Renal,Prevalence,"Rate (per 100,000)",Past estimate,0.08425479999999999,0.07781909,0.09092204,GBD,Renal
Chronic kidney disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00320798556725083,0.00258376829532907,0.00389374707435918,GBD,Renal,Prevalence,"Rate (per 100,000)",Reference,0.08603359225766269,0.0795697124886656,0.09335208955032431,GBD,Renal
Chronic kidney disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.0032771118915035204,0.0026482558938091603,0.0039601340207144,GBD,Renal,Prevalence,"Rate (per 100,000)",Reference,0.0875487449023967,0.0810665558088596,0.0953712155088511,GBD,Renal
Chronic kidney disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.0033451531852072,0.00270441083409015,0.00402010340777459,GBD,Renal,Prevalence,"Rate (per 100,000)",Reference,0.0891158324170152,0.0823696564156209,0.09749389559179501,GBD,Renal
Chronic kidney disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00342173168182158,0.0027667083601460303,0.00407588505457515,GBD,Renal,Prevalence,"Rate (per 100,000)",Reference,0.0908129531459457,0.0837230954815643,0.0993643470892195,GBD,Renal
Chronic kidney disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00349982944073576,0.00283282133780599,0.00415794600954937,GBD,Renal,Prevalence,"Rate (per 100,000)",Reference,0.09248350694717619,0.08488444355814351,0.101920966534072,GBD,Renal
Chronic kidney disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.0035842811636126698,0.00289683348732927,0.00426644481066882,GBD,Renal,Prevalence,"Rate (per 100,000)",Reference,0.09423682199211761,0.0857339461232014,0.104631496596555,GBD,Renal
Chronic kidney disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00367587735435727,0.00296840535221506,0.0043998336264133,GBD,Renal,Prevalence,"Rate (per 100,000)",Reference,0.0961394377704517,0.0869656932916332,0.107360832765543,GBD,Renal
Chronic kidney disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.00377318609976917,0.00304406833356077,0.0045520301466968,GBD,Renal,Prevalence,"Rate (per 100,000)",Reference,0.09816824552602449,0.08836550610519071,0.110421843836334,GBD,Renal
Chronic kidney disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0038721542081694505,0.00311198402255788,0.00467506344696765,GBD,Renal,Prevalence,"Rate (per 100,000)",Reference,0.100185963879614,0.0898831674186487,0.113431143270975,GBD,Renal
Chronic kidney disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.0039615658666981605,0.0031654572313771804,0.0047815458065937795,GBD,Renal,Prevalence,"Rate (per 100,000)",Reference,0.101966723436367,0.0909697520231407,0.115826853102448,GBD,Renal
Chronic kidney disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.00406598655669386,0.00323479587701893,0.00489936732033426,GBD,Renal,Prevalence,"Rate (per 100,000)",Reference,0.10401893402703499,0.0923011062349361,0.11894217845818701,GBD,Renal
Chronic kidney disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.0041839159133228495,0.00333577423458401,0.00504658732575087,GBD,Renal,Prevalence,"Rate (per 100,000)",Reference,0.10636179174971899,0.0938555884158946,0.122377698809174,GBD,Renal
Chronic kidney disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.00429008538359348,0.00341782183318106,0.0051743566845656,GBD,Renal,Prevalence,"Rate (per 100,000)",Reference,0.108504132219643,0.0953206595092958,0.125647001626964,GBD,Renal
Chronic kidney disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.0043969965627678196,0.00348789879207857,0.005323226912650501,GBD,Renal,Prevalence,"Rate (per 100,000)",Reference,0.110612669824979,0.0965758256516628,0.129028943737104,GBD,Renal
