Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Chronic obstructive pulmonary disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0171501847896371,0.014630825871509401,0.0204013443263713,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.036545634,0.032501156999999996,0.041015074000000006,GBD,Immunology
Chronic obstructive pulmonary disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.0164743979408416,0.014167462836598699,0.0191827333850115,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.036613986556715196,0.0323884401112607,0.0412266248364338,GBD,Immunology
Chronic obstructive pulmonary disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.0167865335597381,0.0144824684038744,0.019420526727521998,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0375975277038978,0.0331619246380843,0.042626576883955304,GBD,Immunology
Chronic obstructive pulmonary disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.0170814320697622,0.014846016730933699,0.0196679191349448,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0386399467613172,0.0339700350322005,0.0438851211145757,GBD,Immunology
Chronic obstructive pulmonary disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0174405407893622,0.015142223791061999,0.0199468073685919,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.039750347081653696,0.0347672105295842,0.04531902025477381,GBD,Immunology
Chronic obstructive pulmonary disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.0178152641976312,0.015526414788551398,0.0203092734079365,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0408500394743497,0.0354798292226456,0.0467551628147795,GBD,Immunology
Chronic obstructive pulmonary disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.0182666383049966,0.0159641067296305,0.0208350425004895,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0420647562567342,0.0363046213566345,0.0481979145326467,GBD,Immunology
Chronic obstructive pulmonary disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.018754957484136702,0.016367848646360202,0.0213033432276669,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0433406774028716,0.0373017706111313,0.049829605447884395,GBD,Immunology
Chronic obstructive pulmonary disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0193254587171419,0.0168504468691116,0.0219093210464047,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.044815199593869,0.0384850769880509,0.0515869582921956,GBD,Immunology
Chronic obstructive pulmonary disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0198584939477168,0.0173048228097464,0.0226397465579665,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.046149174465799796,0.039494603783613004,0.0535399843084475,GBD,Immunology
