Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.003176029733563,0.0025157468692786,0.0040381565503212,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.27948445,0.25919014,0.30054447,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00314401995324675,0.00249352594240017,0.00392643553185128,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.282881714827235,0.261638438091119,0.30376094382081503,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00315173925696631,0.0025041977234610702,0.00393824604688891,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.28522845693015303,0.26311042250233097,0.30638916815417,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00315954762178647,0.00251776774926072,0.0039451650602530496,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.288146559415039,0.264990732768978,0.309379405875101,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0031671302509203502,0.00252226943379465,0.00395903177946667,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.290564962580594,0.266809941558232,0.312279507721489,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.0031750910218370804,0.00254296696154364,0.0039775771240126104,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.292991316007547,0.268743417541077,0.314937087446702,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00318476697663364,0.00254444787766764,0.00399316864446522,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.295544852165457,0.27074813194067,0.31777470522762696,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.0031947913425387797,0.00254807791967099,0.00402598529038838,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.29825050699299,0.272625545244553,0.320267969786092,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0032033468001168596,0.00255458508070601,0.004030929314847389,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.301249448158395,0.27495061452028,0.324034295672399,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0032110238724340798,0.0025593352308809197,0.00404647581296432,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.303729754121649,0.27738244857017597,0.327565371617426,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00321769105968472,0.0025534504410327803,0.00405618752055506,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.30616216354415904,0.279596064460058,0.33037517554213996,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.0032250785022253804,0.0025658855653416203,0.00405318300798024,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.308739612645141,0.28210115009986503,0.333423114974301,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.0032315958751132,0.0025558225341242202,0.00407283319265492,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.311391528541111,0.284375732962184,0.336739726744753,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.0032373131054373103,0.00255161104806418,0.00410112437209676,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.314317311079517,0.286765900393268,0.340181859107422,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.00324222400625192,0.00254892925091583,0.00411961774086707,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.31674685277183,0.289081849371714,0.342359860950475,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.00324685719370654,0.00254870640227418,0.0041022945139448305,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.319232010597862,0.291035638831705,0.345560031523851,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.00325330768295086,0.00254824535913744,0.0041195681166514,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.32182841652580196,0.292622408913144,0.348480523485444,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.0032592704364409098,0.00254205002106745,0.0041578507275861895,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.324401320453783,0.293722796507287,0.352032189271083,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.0032635434545243798,0.00253310529552573,0.00419060995637191,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.327188295066393,0.295557627047618,0.35515278387954,GBD,Immunology
Cirrhosis and other chronic liver diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.0032664573490889,0.0025249386223032497,0.0042170546195018895,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.32936602321344,0.297703483915512,0.35762543339815,GBD,Immunology
