Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Colon and rectum cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00505096675005706,0.0040643677057239,0.00606029220327156,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00279919316143887,0.00226521827762507,0.0033720249461062796,GBD,Oncology
Colon and rectum cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00518912932470721,0.00418175148706446,0.00621031479119248,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00292718319323394,0.00235956051303962,0.00353355415595415,GBD,Oncology
Colon and rectum cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.0053390835282112,0.00430795579789508,0.00639208743039145,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00306890258982463,0.0024681562348982397,0.0037198922515773803,GBD,Oncology
Colon and rectum cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0054771104124866805,0.00438948922458892,0.00656770038947981,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0031975626679599297,0.00256745120650172,0.00388455506383368,GBD,Oncology
Colon and rectum cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00561628487486453,0.00448865726825372,0.00673762852256493,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00332523243391588,0.00266151244455642,0.00404793525635721,GBD,Oncology
Colon and rectum cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.005762400957026991,0.00462040470746809,0.006885619907968209,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0034552663863223598,0.0027654398074960103,0.00421543849604687,GBD,Oncology
Colon and rectum cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.0059146216166007,0.004735950711365,0.0070620464555850295,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0035889121004416,0.0028802060228438303,0.00438969626580766,GBD,Oncology
Colon and rectum cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.006074419865124051,0.00487204727791458,0.00726311262490003,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00373294570498986,0.00300801809964526,0.00457035898962792,GBD,Oncology
Colon and rectum cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00622231493717903,0.00499282868307495,0.00747025015344758,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0038631552960925095,0.0031039000413811196,0.00473025274185603,GBD,Oncology
Colon and rectum cancer,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00637216444137231,0.00506892225053629,0.00771097052617154,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00399340160011456,0.0031879063007659897,0.00490797094972956,GBD,Oncology
