Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0020222384318053,0.0016879538311288,0.0024621059364384997,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0057991003,0.005198718,0.006493223,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00200423507821939,0.00168988730827158,0.0023869477196728998,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0056820046906315,0.00508100850872205,0.00634695492383002,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.0019105242992716199,0.00160620149489376,0.0022660268986611502,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.005604303217599509,0.00501060466265752,0.006262005649542711,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00183002643514504,0.00153636473977083,0.00217162516360968,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0055371987598039196,0.00494458323041451,0.00619382460941688,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00176634669786506,0.00147773418238533,0.00209705369765505,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00548720102362026,0.00489292253730102,0.0061393038356892,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.0017134786888473598,0.0014284893036402599,0.00203474563089537,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.005442508312792291,0.00484914099325471,0.006091179259943811,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00166732326754806,0.0013840661442851999,0.00198081095155881,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00539870688642698,0.00480618882379716,0.00604266451676397,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00162768635757639,0.0013461445462721099,0.0019379067277963,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00535778020968231,0.0047659654199993995,0.00599782051176956,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.00159307228808955,0.0013140082493182399,0.00189869592443931,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00532192135271819,0.00473220711956171,0.00595859330822728,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0015637161500987801,0.0012869379558605998,0.00186405594615376,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00529216246290427,0.00470514944536035,0.005926653213825469,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00153809620719992,0.00126294587777745,0.00183834022344906,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0052650494309611495,0.00468079680976443,0.00589755527668755,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.00151671604120013,0.00124411593117997,0.00181774803971293,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00523954526424727,0.00465732708636082,0.00587095050834772,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.00149806349231862,0.00122775915176239,0.0017984408840138499,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0052166518133151,0.0046347833381757,0.00584731616884995,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.0014804565486228902,0.0012140858070706,0.0017791686333655098,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00519719420292595,0.00461567189200589,0.0058272837550595894,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.00146249014324439,0.00119610905079345,0.0017589294354051,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00518074058880059,0.00459913286413546,0.00581068683537609,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.00144452765833795,0.00118046658182737,0.00173684275272374,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00516510981755197,0.00458342204449556,0.005794681174044511,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.00142646026011718,0.00116412006664561,0.00171800840741488,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0051495204914905005,0.00456814476695041,0.00577786436880592,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.00140801475784623,0.0011485273950366,0.00169914788739153,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0051343995139635,0.00455353849993723,0.00576018437214407,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.0013870845909283599,0.00112909356567208,0.0016774690879029,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00512010989335511,0.00454004019053015,0.00574334735920221,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.00136227025601454,0.00110719241305119,0.0016468992766330399,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00510578226309788,0.00452660495292366,0.00572676717224105,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.0013346757200483,0.00108310490889488,0.00161215156754362,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00508930442463328,0.00451145237581641,0.005708053852003431,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.00130563757846601,0.0010588644809934,0.00157921987434876,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00506986962344901,0.00449366014072349,0.00568653445037839,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.00127508444921725,0.0010313390274828,0.00154296511261497,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00504802658940916,0.00447388427006982,0.00566277477757004,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.0012440332359993501,0.00100453429154938,0.0015093608721540499,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00502471157746172,0.00445313757798896,0.00563591234168008,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.00121248056942153,0.000976605001890545,0.00147208466836952,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00500026734507725,0.00443086901957571,0.00560752563799164,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.00118070232583891,0.000948127277092865,0.00143615690261163,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00497377982546558,0.00440424007688062,0.00557705823287296,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.0011486846579870599,0.0009196915113796009,0.00139620199255203,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00494450825836585,0.004374294597253589,0.00554524576326331,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2049,0.00111769435680796,0.000893239909667127,0.00135888995520941,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00491348738549935,0.00434241896766649,0.0055133455718735,GBD,Other
Congenital birth defects,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2050,0.00108892946811359,0.000865473922574577,0.0013273436059607702,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00488255790919959,0.0043121507656632505,0.00548136475142678,GBD,Other
Congenital birth defects,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0018622167072037002,0.0015843741250959,0.0021870107097491003,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.007144607,0.0065865726,0.0077332044,GBD,Other
Congenital birth defects,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0020238418786503,0.0017717743179909,0.0023282992233190003,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0074902545,0.0069036996,0.00810081,GBD,Other
Congenital birth defects,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0017119509815462,0.001432919991283,0.0020311463736014,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.008012547,0.007348337,0.008694319,GBD,Other
Congenital birth defects,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0015866678233406,0.0013442911027811998,0.0018606739177778999,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.006672801399999999,0.006139175,0.007242565499999999,GBD,Other
Congenital birth defects,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0023200185646743,0.0020431200460031,0.0026264910966892,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.007982481,0.0072605778,0.008854779,GBD,Other
Congenital birth defects,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.0017975199743839499,0.0015355374317986702,0.00207939251901301,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00719320612024449,0.00663154965956719,0.00776444310478924,GBD,Other
Congenital birth defects,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.00153788921573329,0.00131804169605502,0.0018042624323596499,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00671995844839105,0.00617443662612253,0.00728764690761568,GBD,Other
Congenital birth defects,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.00196530592771759,0.00171686115355132,0.00222820086306561,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0074744618965960396,0.00687568145119246,0.00810309814082423,GBD,Other
Congenital birth defects,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.00164786212084869,0.00135891453026862,0.00193002790845706,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00800803730858649,0.00737818755463759,0.008684297673651949,GBD,Other
Congenital birth defects,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2023,0.00214798346714542,0.0018861684469881899,0.00244507136892706,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00799192239415351,0.007264081279045659,0.00895439370218227,GBD,Other
Congenital birth defects,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2024,0.00177084784745821,0.00151207676569114,0.00205812015994472,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.007168528491557941,0.00661460255757756,0.007739996645967149,GBD,Other
Congenital birth defects,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2024,0.00151826385455321,0.0013013520803491,0.00178369413569627,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0067021710622014495,0.00615419711534433,0.00726785181191243,GBD,Other
Congenital birth defects,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2024,0.00194490390064881,0.00169983444083708,0.0022114722435372497,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00746725295109918,0.00686502085105623,0.0080944161674928,GBD,Other
Congenital birth defects,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2024,0.0016258929870748401,0.00134552621071636,0.00190583659788288,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.007969767780362801,0.007350224554306829,0.00864597668646475,GBD,Other
Congenital birth defects,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2024,0.00211198876279186,0.00184298193977172,0.002412777124262,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0079616356603667,0.00724389410260481,0.00892240691892309,GBD,Other
Congenital birth defects,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2025,0.00174662973975479,0.0014887028003240201,0.0020385024020720603,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0071444820460911,0.0065930875780898495,0.00771629839812833,GBD,Other
Congenital birth defects,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2025,0.001500069555601,0.00127990892640575,0.00175946666507033,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00668538271316719,0.00613597156109511,0.00724088591249894,GBD,Other
Congenital birth defects,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2025,0.0019259296963162601,0.00168645117576709,0.00219328845855506,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00746051186735275,0.006855812815134779,0.008089027887429141,GBD,Other
Congenital birth defects,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2025,0.00160490359886525,0.00132580570559335,0.0018787155576044199,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00793344662612805,0.007318304171618011,0.00860792599219566,GBD,Other
Congenital birth defects,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2025,0.0020784546081098,0.00180620053605381,0.00237157151237397,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00793270247878253,0.00722550291606837,0.00888992331948451,GBD,Other
Congenital birth defects,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2026,0.00172497201395265,0.0014677343069708,0.0020102054817050003,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00712265314340528,0.00656467882309527,0.00769678995195296,GBD,Other
Congenital birth defects,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2026,0.00148396186230664,0.00126772181763321,0.00173700559358187,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.006671251354831149,0.00612285092177906,0.007216304482024039,GBD,Other
Congenital birth defects,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2026,0.0019080707576990801,0.00166500881090649,0.00217547191497287,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0074550851781782,0.00684808697932883,0.0080850204120677,GBD,Other
Congenital birth defects,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2026,0.00158565194216397,0.00131027200700664,0.0018559317602413199,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00790088614008508,0.0072847972691051305,0.00857195056265423,GBD,Other
Congenital birth defects,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2026,0.00204809671809516,0.0017850086780328601,0.00234400260622274,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00790645162590602,0.00720499885163915,0.00885864133267842,GBD,Other
Congenital birth defects,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2027,0.00170425664159863,0.0014489866764554,0.0019913759278428903,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0071014708597171,0.0065466976991715,0.0076740220970660696,GBD,Other
Congenital birth defects,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2027,0.00146981943656043,0.00125403734711374,0.00171937625944706,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00665754072300747,0.00610927912889895,0.00719750459786584,GBD,Other
Congenital birth defects,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2027,0.00189086216312308,0.00164567428514421,0.00215425506122964,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0074484021448173905,0.00684074988662797,0.00807892046150911,GBD,Other
Congenital birth defects,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2027,0.00156694644585112,0.00129328828710423,0.0018374758705023502,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0078699358298717,0.0072549149458211604,0.00853963464244655,GBD,Other
Congenital birth defects,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2027,0.0020192513631435197,0.0017553891636321898,0.0023138685759667103,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.007881516082762701,0.00717991188965104,0.008827327929057889,GBD,Other
Congenital birth defects,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2028,0.00168582181457657,0.00143351774646102,0.00196513782331969,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00708175890762012,0.00652815735597477,0.007649463498876591,GBD,Other
Congenital birth defects,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2028,0.00145646772180471,0.00124103309449924,0.0017033731548637102,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00664453246334916,0.0060997589160412995,0.00718258392760335,GBD,Other
Congenital birth defects,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2028,0.0018733272960631102,0.0016355180836151399,0.00213500463582543,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0074410557377100305,0.00683347226893767,0.0080702092839529,GBD,Other
Congenital birth defects,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2028,0.00154987789160222,0.0012796296251228899,0.0018155079186419102,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00783911926008721,0.00722964371613253,0.00851045498302049,GBD,Other
Congenital birth defects,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2028,0.00199276901890473,0.0017295145293219,0.00229009447110349,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.007856591348286401,0.00715389032389959,0.00879587730993259,GBD,Other
Congenital birth defects,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2029,0.0016692381001095402,0.0014136200993753701,0.00193830601402061,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00706374655816318,0.0065096873539337,0.00762803127433427,GBD,Other
Congenital birth defects,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2029,0.00144420707125911,0.00123179584699329,0.00169499183618193,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.006632392012371551,0.00608961895397686,0.0071671876415607405,GBD,Other
Congenital birth defects,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2029,0.00185635340754347,0.00161824879824512,0.0021178905066288997,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0074331672879133495,0.006826458925300039,0.00806098493730555,GBD,Other
Congenital birth defects,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2029,0.00153332529827721,0.00125830167361339,0.0017993159043385699,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00780898901926578,0.00720166339377952,0.0084862179836809,GBD,Other
Congenital birth defects,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2029,0.00196684103265124,0.00170179102551982,0.00225484397439741,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00783201895655247,0.00712558782692422,0.00876584466765852,GBD,Other
Congenital birth defects,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2030,0.0016540508074665498,0.0014031298774722502,0.00191981816165147,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0070474311511631695,0.00649409923163463,0.007610967225156549,GBD,Other
Congenital birth defects,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2030,0.00143338435506438,0.00121973512774908,0.00168307629405012,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.006621685989534929,0.00607962836521458,0.0071530114162847306,GBD,Other
Congenital birth defects,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2030,0.0018409342658879,0.00160125778367701,0.00210024316829134,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.007425129259474889,0.0068168968132702795,0.00805269147702121,GBD,Other
Congenital birth defects,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2030,0.0015173476816691602,0.00124912745252363,0.0017863361429971102,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.007780135274952781,0.007174188538178,0.00845707703436869,GBD,Other
Congenital birth defects,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2030,0.00194326465991672,0.0016791958400944199,0.0022300054796338,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00780827613952732,0.00709804410580726,0.00873816131586574,GBD,Other
Congenital birth defects,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2031,0.00163971294888801,0.0013920825773131099,0.0019087668914499,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00703308284455456,0.0064822166586851904,0.00759533375030587,GBD,Other
Congenital birth defects,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2031,0.00142347472287437,0.00120955235674566,0.00167406248904685,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.006613504396218521,0.00607141010947482,0.0071445033777583,GBD,Other
Congenital birth defects,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2031,0.0018261951683818298,0.00158729257813685,0.00207723607525967,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0074173311223445105,0.00680797731282625,0.0080452325792726,GBD,Other
Congenital birth defects,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2031,0.0015021884934224201,0.00123758861719439,0.00176875631816012,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00775319996082432,0.00714729935495802,0.00843152962580853,GBD,Other
Congenital birth defects,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2031,0.0019212555726458602,0.0016592927206752902,0.00221059374147597,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00778605781481559,0.00707365210216096,0.00871058956183206,GBD,Other
Congenital birth defects,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2032,0.00162686246876537,0.0013815903012609498,0.00189417929570818,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00701997920143067,0.00647038572555053,0.00758062870198503,GBD,Other
Congenital birth defects,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2032,0.00141418233153124,0.00120128015398396,0.00165824609148275,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00660696757500161,0.006069413667806769,0.00712936816178192,GBD,Other
Congenital birth defects,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2032,0.00181254741669977,0.00157427777376883,0.00206712683315109,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0074088391318605,0.00679954279306745,0.00803868071711032,GBD,Other
Congenital birth defects,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2032,0.00148735178740664,0.00122567875357321,0.00175383619288425,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.007727617419803609,0.0071194750295263,0.008404431835492731,GBD,Other
Congenital birth defects,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2032,0.00190121355862935,0.0016428366993492,0.00218827153701014,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00776485997010123,0.007053475781430131,0.00868353585919573,GBD,Other
Congenital birth defects,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2033,0.0016153107417147701,0.00137091224521166,0.0018816334481262299,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00700826199980236,0.0064568653042827205,0.00756854541520353,GBD,Other
Congenital birth defects,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2033,0.0014058326901675098,0.00119328278147599,0.00165063253576373,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00660161743076066,0.00606857169377824,0.007124718596199561,GBD,Other
