Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Depressive disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.005122066356080699,0.0036399917606586003,0.0069630980029365,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.035380766,0.031574976000000005,0.03957823,GBD,Other
Depressive disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00574640326966948,0.0040890037605266,0.00766847966080043,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0386203373707937,0.034657516231694996,0.0428266566415459,GBD,Other
Depressive disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00581041066485447,0.0041388625184313205,0.007748693049540771,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0390525964565603,0.0350498617864274,0.0433032914131592,GBD,Other
Depressive disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00587411938714314,0.004186444106640199,0.00782907787766516,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0394823293263694,0.0354501673358041,0.0437993856421057,GBD,Other
Depressive disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00593732690165263,0.00423322040429718,0.0079097776075383,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0399064027670688,0.0358401155785103,0.044288175030170095,GBD,Other
Depressive disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.006000973050405019,0.00428038064189071,0.007991819515259171,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.040331612672359504,0.0362341205406249,0.044734524130622004,GBD,Other
Depressive disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.006066059631136581,0.00432852542743505,0.00807646554552216,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0407648543025281,0.0366405950919914,0.0451325370132633,GBD,Other
Depressive disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.0061303346780288495,0.00437497287616574,0.008161156511528,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0411924610855166,0.0370074314355244,0.045566169039891004,GBD,Other
Depressive disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.00619114601247349,0.00441900324726351,0.00824275566084539,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.041598762547207,0.0373583219165253,0.0460609052086911,GBD,Other
Depressive disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00624743715044141,0.00445971889964166,0.00832025953578929,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.041976108342346996,0.0376879253774108,0.046480522441311595,GBD,Other
Depressive disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.0063012088702342,0.00449903614682953,0.00839590714380221,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0423367421655882,0.038008352274878296,0.046865431528994604,GBD,Other
Depressive disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.0063538727101626795,0.00453802103903891,0.00847183169654072,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.042689618848216294,0.0383208027192146,0.047262939912921804,GBD,Other
Depressive disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.00640329859565135,0.00457489656211091,0.00854509791501235,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0430220739798182,0.0386208658178573,0.0475921972801466,GBD,Other
Depressive disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.00644707718509255,0.00460776315269552,0.00861244372650855,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.043320343833852804,0.038905783890746705,0.0478890735486655,GBD,Other
Depressive disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.006484572889076059,0.0046351580107503,0.00867282925070787,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0435798847089454,0.039153947564956104,0.048175109695085205,GBD,Other
