Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0009212052015727,0.0005746994161273,0.0013907990378116,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.029871078000000002,0.02652087,0.03407063,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.0009145728136772441,0.000573058211017774,0.00138216315984327,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0298434474670383,0.026445751518519602,0.03414188770666,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.0009104267644386751,0.000572036037074774,0.00137678756361827,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0298469212248736,0.026417995452120098,0.0342466572537056,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.0009066063297768559,0.0005713502156902,0.00137058732762038,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0298592162032847,0.0263903300723241,0.0343925842008371,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.000903569821517638,0.000570948975375595,0.0013653083016911401,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.029889202949486098,0.0264076287115493,0.0345001264135959,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.0009007252495724851,0.0005701460458894619,0.00135978294451871,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0299266421537255,0.0264316916388425,0.0345401888064091,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.0008978874327095819,0.000569167225529801,0.00135225028020307,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.029968767377439698,0.026449431080383,0.034565368829272504,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.000895425892828067,0.000568612422191065,0.00134501339831502,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0300200279955911,0.0264656876197596,0.034607128187009,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0008936864121118581,0.000568622161037082,0.00134088929926113,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0300842249086848,0.0264826083486991,0.0346997632532932,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.000893069582125219,0.000569371612037448,0.00133838759739473,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.030166827176387603,0.0265283446618396,0.0348515908587894,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.000892756204711973,0.000569776029531526,0.00133579452909163,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0302542699571887,0.0266084860786289,0.0349773226733446,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.000892538523141601,0.0005697891968753531,0.0013327148277106702,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.030344544701006497,0.0267207567809379,0.0350496298154747,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.000892555625181225,0.000569661783033167,0.0013329054903350398,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0304369058270678,0.026801778987644697,0.0351947107879902,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.00089292099218334,0.000569639022004705,0.0013323636770601899,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0305301891545461,0.026865091571538702,0.0353376481912131,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.000893770264887522,0.000569549373909727,0.0013328966436668402,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0306243818992262,0.0269571783338869,0.0354278089175285,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.0008947853220696141,0.000569009561278556,0.00133381392163998,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.030718075862915698,0.027019841922863403,0.0355257531302811,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.00089584536134502,0.000567998615337776,0.0013363585483015701,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.030811799605902003,0.0270714719341904,0.0356057668679361,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.0008969694707908811,0.000566826159593776,0.00133936016528277,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0309034766742857,0.027130547244394503,0.0356835807793272,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.000898162875974117,0.000566498720918485,0.0013404399321082098,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0309907565710226,0.0272212636005618,0.0358103288376967,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.000899459858403992,0.0005670780260163989,0.0013417291554290798,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.031072720007561103,0.027336722041329198,0.0359288006889125,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.000900680823972012,0.000567417419427319,0.00134357065263608,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0311501168054179,0.0274368960784416,0.0360352801494423,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.000901703548126705,0.000567435469378639,0.00134880489913195,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.031222855346155404,0.0275455161385824,0.0361012393700152,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.000902493432490827,0.000567290703414476,0.00135415700009169,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0312887706422715,0.0276211287065116,0.036180268411149,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.000903029654918438,0.000567903843142763,0.00135846412526258,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0313459203613351,0.0276770558261813,0.036268890007833,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.0009033527334767259,0.00056910109706091,0.0013611948484492501,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0313941089596935,0.027687456647356497,0.0363072747969146,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.000903375551399749,0.00057049256874742,0.0013620149591128,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0314343767764053,0.0276748948014435,0.0363688731202474,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.000903080107278345,0.0005720532351635019,0.00136134277182343,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0314683940481442,0.0276658754104911,0.0365065121619638,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2049,0.0009025028653276761,0.000573504222977231,0.0013597658381669,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0314966905279867,0.027656803765993,0.036577987115249296,GBD,Immunology
Dermatitis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2050,0.0009016917913591039,0.000574562962177736,0.00135692770786776,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0315194917625298,0.027673283464259096,0.0366414494504465,GBD,Immunology
Dermatitis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0019630406427092,0.0011088389061873999,0.0031322249189443,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.052571487,0.04941345999999999,0.056156002,GBD,Immunology
Dermatitis,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0013369869227833,0.0007573916206692,0.0021456266023742,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.03692056,0.03528164,0.038708176,GBD,Immunology
Dermatitis,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0014856719895688,0.0008378810999159999,0.0023687750355968003,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.040060602,0.038222846,0.042166345,GBD,Immunology
Dermatitis,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0011416074553506,0.0006377345025237,0.0017836602105482,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.030975092,0.028960484999999998,0.033454746,GBD,Immunology
Dermatitis,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0014731259059352002,0.0008234618854991,0.0023823949102917998,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.038648997,0.037087094,0.040351823,GBD,Immunology
Dermatitis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.00195297064505077,0.00109896827986373,0.00312737988129937,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0524157276106268,0.049274555609264,0.0560017528115039,GBD,Immunology
Dermatitis,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.00113619874395852,0.000641974564706164,0.00182108324727098,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.030899573405297802,0.0288787844617454,0.0333450191591347,GBD,Immunology
Dermatitis,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.00133858378478034,0.000757094757466261,0.00212821978379607,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0369934339757299,0.035318235676756696,0.0388920471847759,GBD,Immunology
Dermatitis,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.00147661660425219,0.000829394215760595,0.00236742977744901,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0399094897142863,0.0380627969743585,0.0419828532374187,GBD,Immunology
Dermatitis,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2023,0.0014653745808272398,0.000819446805649158,0.00237441846566545,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0385162677457931,0.0369702866642602,0.0401974896900561,GBD,Immunology
Dermatitis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2024,0.00194552001886653,0.00109654523099451,0.00311575165421422,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0522847199181393,0.049163112137186,0.0559153927233971,GBD,Immunology
Dermatitis,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2024,0.00113065366648737,0.000639310711332974,0.00181042003711028,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0307929436916011,0.0287599301810989,0.0332349700822283,GBD,Immunology
Dermatitis,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2024,0.00133905601220108,0.00075867768706902,0.0021289628247300103,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.037014387278991596,0.035358190146555196,0.0389037107934817,GBD,Immunology
Dermatitis,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2024,0.00146865613823187,0.000825187552977569,0.00235270403223209,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0397621746933084,0.037922549813832404,0.041797858386429,GBD,Immunology
Dermatitis,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2024,0.0014581872148301301,0.0008149843925048479,0.00236432394255933,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.038379503983282,0.0368480544409524,0.040065667707216396,GBD,Immunology
Dermatitis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2025,0.00193833150774743,0.00109423528373183,0.0031048649486947895,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0521589983167079,0.049051832593927605,0.0557911225945779,GBD,Immunology
Dermatitis,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2025,0.00112557807193396,0.000636686176273989,0.00180075328444032,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0306967901222732,0.0286614270445496,0.0331165331703178,GBD,Immunology
