Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0079711632684313,0.0061876007354385,0.009986794764398399,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Past estimate,0.07696407,0.07084707999999999,0.08356611000000001,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00866827104778562,0.00675574242145042,0.0110597178495864,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.08820490554321121,0.0808866067469628,0.0963271115526254,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00891487226918059,0.00693214615622948,0.011397303380673199,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.09118164416705621,0.0837280435847787,0.0996033986511432,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00917019042317748,0.00711074859619894,0.0117456743934755,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.0943115525625034,0.0867020167373702,0.103044187272658,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00943290581389244,0.00731385903263357,0.012110847760439499,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.0974419515988959,0.08958328084085561,0.10650283713263199,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.0096944005446149,0.0075167229609633705,0.012472793556045001,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.100658901676152,0.0925153600690054,0.11005584328271299,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.0099714245070078,0.0077268875820375,0.0128569826213886,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.10399271213518399,0.0955803316008348,0.11373649242285101,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.0102586886544578,0.00793470759444817,0.013250673961462801,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.107430141128181,0.098702481477937,0.11752833735291,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.010557449104765401,0.00815122837015416,0.013664176985203601,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.110995477849251,0.10193096599304101,0.121396281723263,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.010851355584265,0.00838262049753389,0.0140587281962979,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.11454555112399299,0.10514622549947701,0.12519078194344901,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.011140672368488199,0.0086078631650168,0.0144633197766469,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.118176081469604,0.10845614327290101,0.129081529780243,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.0114470676451301,0.00883253742320276,0.0148900190403744,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.12190940815223499,0.11186964490903499,0.13307974980725099,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.0117646418824784,0.009059721412936289,0.0153286573131981,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.125714077831635,0.115329844750862,0.137217368360198,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.0120812604230382,0.00928855400374552,0.0157692720062373,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.12960786785627001,0.118864782421099,0.141494798576443,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.0123910175638083,0.009503175769932171,0.0161906927848408,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.133439974649112,0.12233995376463098,0.145710630984414,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.012706741869776298,0.00972630077795222,0.0166007823535644,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.13733095682417798,0.125873270203532,0.149979834767525,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.0130210254797476,0.00994830783119296,0.017009127359035498,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.141314208477764,0.129494137677173,0.154341223155295,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.0133437550092069,0.010165102096883299,0.0174342720524248,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.14534730717602,0.133199917001471,0.158728402015235,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.013669151802432099,0.0103920908522579,0.0178590033397913,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.149442222365289,0.13695628005835,0.163107252485374,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.0139748660222981,0.0105952363687557,0.0182625017281692,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.15344883710511,0.140607316426702,0.167561801343681,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.0142807494390905,0.0107963319227877,0.0186706640521925,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.157505164242135,0.144294360809325,0.172103341557698,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.014604192102345901,0.0110263609355687,0.0191029657601621,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.161659632385495,0.148081913412063,0.176744867400468,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.014921159942691099,0.0112375464576936,0.0195259877753186,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.165891021703158,0.15194965801509,0.181464324038071,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.015250807026801799,0.0114614479903153,0.0199677475434245,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.170219691108283,0.155910698265985,0.18630072657900898,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.0155774852753194,0.011677547823980101,0.0204129036154636,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.174511054963691,0.15986728497855,0.191123728975287,GBD,Metabolism
Diabetes mellitus,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.0159144143449776,0.0118977663630338,0.0208657108571965,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.17890136355915098,0.16385731377549098,0.19603069500671202,GBD,Metabolism
