Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Diarrheal diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0011155595674076,0.0008588063554896,0.0014441688096502,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0073725036,0.0062116459999999995,0.008668686,GBD,Other
Diarrheal diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0008428594251724001,0.000729717267135,0.0009600863285318,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0029179388999999996,0.0026880961,0.0031795579,GBD,Other
Diarrheal diseases,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0007386257902001,0.0006170345046651,0.000899844039534,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0033799856999999997,0.0030265127,0.0037832642,GBD,Other
Diarrheal diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.00110093369170614,0.0008269475257129539,0.00146620724473308,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.007326445593743121,0.00611457702393639,0.00864830506871387,GBD,Other
Diarrheal diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.000891812093250945,0.000756353909344666,0.00104355934235362,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0033495964299437996,0.00303369475116241,0.0036480708514747,GBD,Other
Diarrheal diseases,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.0007300244761042439,0.000593149660973136,0.000893902931027135,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00346845224169064,0.0030795313109203,0.00393378002971906,GBD,Other
Diarrheal diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2024,0.00111147774704411,0.000825172842208852,0.0014786882047448,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00736122341594777,0.00614639809281142,0.00878569296149035,GBD,Other
Diarrheal diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2024,0.000919895974020377,0.000770230822800324,0.00108557329231866,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0034171350608609703,0.0030842396194423,0.00374502742292998,GBD,Other
Diarrheal diseases,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2024,0.000744167899275418,0.000595345017077905,0.0008987416659361389,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00351075926293537,0.00309313397468219,0.00402668674248523,GBD,Other
Diarrheal diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2025,0.00112445519959393,0.000840260931115916,0.0014905003894829401,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0074208441383712895,0.00615864988815579,0.008853203086369719,GBD,Other
