Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Dietary iron deficiency,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0011723205944081001,0.0007711773479177,0.0017054436578803,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.055292774,0.05304015,0.057137467,GBD,Other
Dietary iron deficiency,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00116561145271177,0.000773069452009891,0.00168340880764489,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0550005980862955,0.0526081880756124,0.0568765977507932,GBD,Other
Dietary iron deficiency,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00115938990609611,0.0007688845654874839,0.00167225703649565,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0547563321829697,0.05241614289451001,0.0566078588409228,GBD,Other
Dietary iron deficiency,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00115349125098704,0.0007649720181890269,0.0016620173385798298,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0545305775513554,0.052212530843860204,0.0563911793408358,GBD,Other
Dietary iron deficiency,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00115046695963028,0.000763016651780638,0.00165686794083629,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0544482282015905,0.0521279613449944,0.0563557026442846,GBD,Other
Dietary iron deficiency,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00114898962886207,0.00076217662762888,0.00165491204149227,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0544517014914656,0.0521615941168678,0.0563831706061021,GBD,Other
Dietary iron deficiency,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00114907467069593,0.0007624403882796009,0.00165584350184149,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0545425400412809,0.052285149851317804,0.056483624970199396,GBD,Other
Dietary iron deficiency,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.001149989839933,0.000763222696536692,0.0016583967112714,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.054674387481720196,0.0524359520323542,0.0566078905744988,GBD,Other
Dietary iron deficiency,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0011503828799607299,0.000764305295456947,0.00166047183204901,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0547748756179432,0.0525198178017546,0.0567086828218737,GBD,Other
Dietary iron deficiency,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0011519685337932199,0.000766182298693972,0.0016643875068658,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0549176273859338,0.0526368480709028,0.056863255910745904,GBD,Other
