Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Drug use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0012097492784787001,0.0009529391757239,0.0014878091231619,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0054653874,0.0047311108000000004,0.006463677,GBD,Other
Drug use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00117346520888577,0.000920904833066294,0.00143940710596797,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.005352392688693181,0.00464160749974424,0.0063113641691205,GBD,Other
Drug use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00117893250032516,0.000934351678861655,0.0014450946816775899,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0053480372447582206,0.00464165440690981,0.00631351588550485,GBD,Other
Drug use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.0011866236113247,0.000941171552129511,0.00146141236548845,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0053569463371509005,0.00464315541465036,0.00631532355944337,GBD,Other
Drug use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00119671149241492,0.0009483965631813091,0.0014768392392935101,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00538570145961572,0.00465451927423183,0.0063595422297313305,GBD,Other
Drug use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00121000190714912,0.000956770271956391,0.00149338757871689,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00543471625516791,0.00467881980004371,0.0064323897937499895,GBD,Other
Drug use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.0012258850726657,0.0009675059897981719,0.00151528455753237,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00550163587366079,0.00473153556260132,0.00653221298339647,GBD,Other
Drug use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00124436895131959,0.000977095621762007,0.0015353138886231598,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00558307181659222,0.00477999515248744,0.00662128068422889,GBD,Other
Drug use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0012646433476891901,0.000986956554098385,0.00155606636432587,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00567200101520005,0.0048466297273521,0.006716857873786899,GBD,Other
Drug use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0012866656744343601,0.000998891644460343,0.00158361017594239,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0057706621322267905,0.00491203167723836,0.00686679535198057,GBD,Other
Drug use disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.0013100363735217202,0.00101365629486881,0.00161879374954999,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00587578047014555,0.00497562044404424,0.00702356996636212,GBD,Other
