Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Eating disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0008601399890848999,0.000526104461744,0.0013145552744605001,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0040251007,0.0030614005,0.005362903,GBD,Other
Eating disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0007787051677150999,0.000487704273946,0.0011659465774815,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0036336267,0.0028034903,0.0046744225999999995,GBD,Other
Eating disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0009056021295786999,0.0005518601134495001,0.0014092186302861,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.00427735,0.0031722269999999997,0.0056606936,GBD,Other
Eating disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0009562294628625,0.0005862987526826,0.0014586571391877999,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.004506093,0.0034570533,0.0058837193000000005,GBD,Other
Eating disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0008698852015285,0.0005278636072676999,0.0013463890530488998,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0041053365,0.0031141161,0.005376947,GBD,Other
Eating disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.0008329687857018501,0.000506979213324525,0.0012906694841542,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0039058797075312702,0.0028919591271964703,0.005281385064437771,GBD,Other
Eating disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.000925159575003009,0.0005622469896161951,0.00138133001570408,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0043711254928985805,0.00321919784726072,0.005739187135150799,GBD,Other
Eating disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.000724081959056082,0.000459719152353454,0.00106641016404781,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00339333641738169,0.00259769525795547,0.00444870217924466,GBD,Other
Eating disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.0008873377976377969,0.000547335662321512,0.00141341276592566,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00419662828139857,0.00298063842482074,0.005647954623771629,GBD,Other
Eating disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2023,0.0008690340283066721,0.000535625308355301,0.00131072856586584,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0041132150191917705,0.00302121757901744,0.00550471102884336,GBD,Other
Eating disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2024,0.000815307881829255,0.0004957991964666121,0.00128593678091125,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00381937222716829,0.0027950568747357896,0.00513140057305784,GBD,Other
Eating disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2024,0.00090826757035931,0.000563015918232069,0.001369936213895,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00429259695597446,0.00319273153972406,0.00572054580257471,GBD,Other
Eating disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2024,0.0007090577165830559,0.00045742659808809997,0.00104125761449631,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0033205512473482497,0.00253770134767091,0.00443511675872787,GBD,Other
Eating disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2024,0.000874063968452711,0.000540563065190313,0.0013882211717451199,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.004134548632449221,0.0029613942631537,0.00552425265498543,GBD,Other
Eating disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2024,0.0008750105860980711,0.00054052745932796,0.00134078027053822,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00413843645711963,0.00304805946113146,0.005499355680602509,GBD,Other
Eating disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2025,0.0008005018929637,0.00048478678605036896,0.00125032160173151,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0037510624320686798,0.00267485786075216,0.00506528419711746,GBD,Other
Eating disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2025,0.0008931248726475001,0.00055474888666928,0.00138344454848688,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00422048695423214,0.00317643079885588,0.00565728904145303,GBD,Other
Eating disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2025,0.0006957006250962929,0.00045141057437882094,0.00104004726108088,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0032572296373709797,0.00236899593783903,0.0043729439312199005,GBD,Other
Eating disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2025,0.000861187440283389,0.0005150366063407899,0.00135669176156058,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0040714174318279995,0.00294218874269963,0.00543803813468267,GBD,Other
