Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0020675722850121,0.0013921385523802,0.0030560931745582,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Past estimate,0.11337887,0.089589834,0.14348876,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.0020731384833299602,0.0013985773765361402,0.0030313663101380096,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.113473934029305,0.08962016559966339,0.14446687238803999,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00207957203556403,0.00140398176864454,0.00303554560018765,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.11365731416676599,0.08989289719344029,0.144406308252198,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.0020879891602383197,0.0014111245786072,0.0030385891177026098,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.11392373739362499,0.0901748842741712,0.144035637703049,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0020985496489555,0.00142092470404898,0.00304716951985557,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.114291909418323,0.0906221279227081,0.144107409865451,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00211067039487168,0.0014321175345192,0.0030589808793107104,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.11469861870138501,0.0908833108564988,0.14438356914071301,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00212539284302861,0.0014466373923383699,0.0030767483511589303,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.115185164957496,0.0911486638724008,0.144609066610523,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00214211878687301,0.0014622811776664802,0.00309344636660768,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.115749091464503,0.0917553209430272,0.145029517944579,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.00215844848043409,0.00147577105139795,0.00311419471232081,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.116265074589769,0.09223069155502761,0.14530900082436699,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00217583930793828,0.00148856395514843,0.00313795342712244,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.116835792813598,0.09290505508434861,0.146276792527902,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00219466634629143,0.00150187715772464,0.00316060680492504,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.11745613869037201,0.0936949441404724,0.147220013631187,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.00221518044864576,0.0015197482591206802,0.0031864351330319896,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.11811413299764299,0.0944255141591203,0.148039971516588,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.00223641290595527,0.00153853462850572,0.0032134563026933,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.118776887873208,0.0946829785856438,0.148590572961168,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.00225649280217289,0.00155515752827195,0.0032372641053562,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.11935654694860699,0.0952070363521043,0.14932758025238999,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.00227679682829483,0.00157530359673204,0.00326021077125991,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.119956628933916,0.09584437394164859,0.14985811276039498,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.00229731152823773,0.00159413601228097,0.00328587419350057,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.12054075810042499,0.0966790438899943,0.150592290382787,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.0023184669852800103,0.00160980099661588,0.00331013685787592,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.121100273441843,0.09714487252252169,0.151635483289649,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.00233972130792811,0.0016281726993894,0.00332872517118901,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.121637222242439,0.09730414051397,0.151920628476068,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.00235954743127984,0.0016430221912815302,0.00335317829223823,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.122092224700961,0.0974648532728717,0.15240474432817,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.0023788270239342903,0.0016595768153992699,0.00337626600538139,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.12254156236316499,0.0976548282461146,0.153444392998104,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.0023989007232925,0.00167899294124233,0.0033988645551637597,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.123028908089407,0.0979392887356066,0.15463281468961101,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.00242037066914663,0.00169644763639762,0.00342659008434443,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.12353660470422399,0.0980553196863385,0.155858292262638,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.00244256499355523,0.00170985127209336,0.00346093790692874,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.12405160029488199,0.0980981912995709,0.156917196591491,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.00246428806514814,0.00172129931123849,0.00349267911781061,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.124527572543592,0.09815830388198671,0.15812880676160398,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.00248685936681294,0.00173561675397402,0.00352905502474103,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.12504786101582,0.0985540929592937,0.159252541836188,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.0025104006554617798,0.00175451239571574,0.00356596283652529,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.125602323896836,0.0989800896434061,0.159898199415661,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.00253600810405266,0.0017823899039529601,0.0035980972088626695,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.126212782029826,0.0995098074226678,0.16049466119659,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2049,0.00256333627297948,0.00180537048163261,0.00363871490880831,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.12688559434754498,0.09952279752544409,0.161403114011028,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2050,0.0025900875861919,0.0018295731453103598,0.00367960638472973,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.127517471440456,0.0993162222334287,0.16215023536884102,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0023872041856834,0.0020746907092254,0.0028031519154617,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Past estimate,0.050530978,0.0416579,0.06012234,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0023218310118517,0.0020470383845042,0.0026631102871425,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Past estimate,0.043413244000000004,0.036174029999999996,0.052305114,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0024944372396647,0.0021095914056751,0.0030182511908154997,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Past estimate,0.06524315,0.053524666,0.07826569,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0017266594944504,0.001533767295975,0.0019730722278099,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Past estimate,0.028645646,0.023767820999999998,0.0345643,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0021803015948046,0.0016914461360436998,0.0028554554660107,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Past estimate,0.08498370000000001,0.069991395,0.103337996,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.0023053156181961298,0.0019697768565694,0.0027446185179059897,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.0504492932259188,0.0410038106811044,0.0602364259064865,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.00165173924073313,0.00144895070210146,0.0019214422189772302,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.028257778603545898,0.0234839175869623,0.0341886625049438,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.0022676238642154,0.00197885640132791,0.00266410042434428,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.0433009537174993,0.036083398063121296,0.0520261527242552,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.002452321873318,0.00206393700358702,0.00302623547020562,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.0650054919262335,0.0537824306631757,0.0784899319875685,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2023,0.00211655694579682,0.00162662910002768,0.0027945323516196997,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.08553912675239901,0.0707765073279262,0.103428157385882,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2024,0.0023194009953205,0.00198031451302319,0.00276750078772993,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.0504686634471001,0.04100498159499041,0.0603606812952488,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2024,0.00166280617333908,0.00145366317962035,0.0019301909898059401,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.0281989821971407,0.0232182794096506,0.0341829900737226,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2024,0.0022874733575218302,0.0019902302965419598,0.00267727036706435,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.0433780283820741,0.036300576835023496,0.052024574058934604,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2024,0.00247157812401873,0.0020891705629897603,0.00305831231456345,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.0650860506577407,0.0536894788152969,0.0785755257239074,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2024,0.00213060921092577,0.00163966825918486,0.0028102767521598505,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.0859931186839826,0.07109049385677771,0.104020890115446,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2025,0.00233332501616495,0.00199339550117846,0.0027676755470602502,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.0504950689294311,0.0409269636106447,0.0604149522606999,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2025,0.0016740748023416699,0.00145879951038522,0.00194737410642603,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.028159954684343503,0.0231235807233337,0.0339905790176584,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2025,0.00230680416510901,0.0020097191324486598,0.00269257618074765,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.0434618941797379,0.036275120749409195,0.052050364500051,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2025,0.00249139320890397,0.00209663374873468,0.00307967776291693,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.0651876774652334,0.0537971196865154,0.0787618693997684,GBD,Metabolism
"Endocrine, metabolic, blood, and immune disorders",Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2025,0.00214441659346339,0.0016555230357845,0.00283659574496977,GBD,Metabolism,Prevalence,"Rate (per 100,000)",Reference,0.0864512276096744,0.0716438062200471,0.104867325193627,GBD,Metabolism
