Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Exposure to mechanical forces,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0010442720735082,0.0007564266474435,0.0013050108638238001,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.015576505,0.013754312999999999,0.0177556,GBD,Other
Exposure to mechanical forces,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00101544579303846,0.0007189780233417861,0.00125840077820365,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.014976586668175501,0.0132358302949627,0.017117116443781197,GBD,Other
Exposure to mechanical forces,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00100162917718961,0.000705609631526071,0.0012435748249466502,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0149376025578337,0.0132165846169323,0.0170634487234331,GBD,Other
Exposure to mechanical forces,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00098682538794793,0.0006916678820732351,0.00122987126984799,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0148808001158602,0.0131046315804947,0.0170195665076157,GBD,Other
Exposure to mechanical forces,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0009742227709698911,0.000682293395455772,0.00121834031399695,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0148418335852909,0.0130060549473428,0.0170061631227566,GBD,Other
Exposure to mechanical forces,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.0009615098535792851,0.000671884749421147,0.00120286799728994,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0147814537331094,0.012954532714673301,0.0169219451947789,GBD,Other
Exposure to mechanical forces,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.000952588644954226,0.000664551307089748,0.00119288334704056,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0147800213813546,0.0129404965991734,0.0168964542543934,GBD,Other
Exposure to mechanical forces,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.000943910246864268,0.0006587928863877779,0.00118507918911962,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.014777754320400599,0.0129172408991827,0.0169370339369519,GBD,Other
Exposure to mechanical forces,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.000934100935480907,0.0006510240584065571,0.00117701576534348,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.014748315018998,0.012854465869246101,0.0169299842724826,GBD,Other
Exposure to mechanical forces,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0009237816489454581,0.000642947983784988,0.00116480300339303,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.014692580978593,0.012732939315385099,0.0169370410864259,GBD,Other
