Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0059094130628439,0.0045613545505811,0.0073749649659867,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.07950140500000001,0.0690306,0.09081582,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00580376768332345,0.0044956292656908,0.00720098843568424,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0782344654981563,0.0679567481858981,0.08945078258332231,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00582092004491418,0.0044995192560512605,0.00723849469120655,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0783341695803859,0.0680590700899493,0.0896321822234904,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.0058425758569266495,0.00450963705191448,0.0072432311914339504,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0784798635605302,0.0681404451815721,0.08977791812409171,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00586921133155546,0.004529782918148231,0.00726361672731554,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0787078659259551,0.0683398755988133,0.089937313651685,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.005902568054347459,0.0045567449757901194,0.00729699848255984,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0789848833209427,0.0687491326657657,0.090364539453653,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.005953048970869799,0.0045990478380629795,0.00734326952185838,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0794246163616742,0.0693776037072466,0.0909418433232802,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.0060126753856176406,0.00463947302357519,0.0073986656697578495,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0799520110222915,0.069760306036489,0.0914890382028735,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.00607255903220733,0.00469029359207748,0.007475181558727541,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0804511354851776,0.0702009011552662,0.0920860986857621,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00613103165223849,0.00473082931613093,0.00754772398863251,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0809402729437162,0.070372872954376,0.09273134550824831,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00619717396104874,0.00476650265957905,0.00766006009038088,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0814898917182132,0.0707096081884543,0.0935271691408808,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.006272821575677961,0.00482073135031486,0.00775052936427913,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0821099297085939,0.0711530704581761,0.093996281971342,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.0063545671981364606,0.00487180335091544,0.00785438236923486,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0827745178017045,0.0716201563895323,0.0949465540650731,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.006434744774849251,0.0049113304740582495,0.007962554110050549,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0833998906405964,0.0719481376500461,0.0954240990861664,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.006512710842950849,0.00496189658448817,0.008064614246158041,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.08401454527598769,0.0725160029273659,0.09608941981629039,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.00659176423434004,0.00502791230497957,0.00815834834503432,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0846152260958773,0.07291454092002,0.096308861275694,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.00668141369352779,0.00509946791473359,0.0082612431544235,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0852977180504,0.0733342565563261,0.096806180930764,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.00677330193317268,0.00515120404642745,0.00835289008501571,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0859789545320766,0.0738752966420786,0.09761599762867951,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.00686284227583903,0.005211298640563511,0.0084681887596644,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0866377467363568,0.0747664241646018,0.0986592555251554,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.00694879139851781,0.00525594499298984,0.00857517930580084,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.08729687427607259,0.0750934328151147,0.0992358713054492,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.00703551262823667,0.00531521993394784,0.00868941110338874,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.08796209813293121,0.0753317417270624,0.10000954247053499,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.00713334808773385,0.00537737114928635,0.00881591877000195,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0887139422989718,0.0757327277647155,0.101016483803054,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.007235786231438271,0.00545525346715402,0.00896616496142908,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0894974077149959,0.07639542647629309,0.101975212249753,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.0073412821221874,0.00551031461152829,0.00911798627922174,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0902986775954166,0.0769884730877955,0.103205678038874,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.00744434174051349,0.00559380387068585,0.00924230424359548,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0910610246740734,0.0775643139552295,0.104415731907625,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.00755425541090172,0.00565550374509658,0.00939831640643574,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.09186452977454401,0.0783221834524777,0.10543183625506301,GBD,Other
Falls,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.00767541707458534,0.00571456359102573,0.00955918703791735,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.092734321442409,0.07862648702588079,0.10690943183408301,GBD,Other
