Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Foreign body,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0014155769724058002,0.0012820754299773,0.0015336738652778998,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.005242341,0.0044854656,0.006140318,GBD,Other
Foreign body,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0011633923550922,0.0010304505350744,0.0012758307810984,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.005186211,0.004406235,0.00607519,GBD,Other
Foreign body,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.0013199719982052401,0.0011943112603383201,0.0014288610930077998,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00516624192311621,0.00441742482177313,0.00608145075997333,GBD,Other
Foreign body,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.00107636346443137,0.000951035965732755,0.00119562291215222,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00508585177158648,0.004309632360589549,0.0059916675063276205,GBD,Other
Foreign body,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2024,0.0013254624194823299,0.00119424399323864,0.00144134316629766,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00515766372156578,0.0044265581245314005,0.00606625402140284,GBD,Other
Foreign body,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2024,0.00108604512101951,0.000956284102953125,0.00120597849050876,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00505615684522544,0.00430383608125812,0.00597479182979922,GBD,Other
Foreign body,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2025,0.00133045980944869,0.00119110982434403,0.00144864532166416,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00514747478275106,0.0044045824625788,0.00602331830936457,GBD,Other
Foreign body,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2025,0.00109297557297144,0.0009585063957403359,0.00121239917300201,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00503080839394,0.00429604177313527,0.00593748785995291,GBD,Other
Foreign body,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2026,0.0013328704699609,0.0011837844396182901,0.00145145723283687,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0051364224394662,0.00441056578032872,0.00601479253183653,GBD,Other
Foreign body,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2026,0.00109687953255745,0.000964333362147912,0.0012217485338553299,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00500980623790431,0.00427256446140413,0.0059204001246897205,GBD,Other
Foreign body,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2027,0.00133544984941147,0.00119574692580769,0.0014578353881075099,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00512686277160274,0.0043645826566666,0.00598990730872355,GBD,Other
Foreign body,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2027,0.00110137494327643,0.0009662441019316119,0.00123126498654316,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00499462526452688,0.00423690488364449,0.00590940053030374,GBD,Other
Foreign body,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2028,0.00134103576803756,0.00118847346068666,0.00146865726526455,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.005125643961063101,0.00437244343562569,0.00597348687498005,GBD,Other
Foreign body,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2028,0.001105635356815,0.000963809936361248,0.00124127190820278,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00497127445571149,0.0042351477870962604,0.00588599187186448,GBD,Other
