Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2027,0.000686417168319787,0.000285037422769663,0.00142156847828466,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.127776622665076,0.11444347606675599,0.143186976833882,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2028,0.000692562617105559,0.00028761919420362597,0.00143402487458981,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.128985381321252,0.115264924300896,0.14460966169544498,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2029,0.000698902767585394,0.000290159356576463,0.0014476814517653401,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.130231737609365,0.116322305272436,0.14599778540987798,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2030,0.000705279880450188,0.000292689216163761,0.00146179642813485,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.131482992230703,0.117403793285798,0.147434785843194,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2031,0.000711582772997303,0.000295290176030307,0.00147514191874816,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.132717215900513,0.118500436600036,0.148857055944593,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2032,0.0007180250372688429,0.00029806585600060896,0.0014888090925897898,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.133981512197263,0.11967011833911,0.150287941682033,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2033,0.00072475085017708,0.000300903931465701,0.0015032209292054001,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.135305934660124,0.12091643314208901,0.151825423348147,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2034,0.0007315807060234771,0.000303393378802576,0.0015179968483869399,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.136653919717354,0.122114346471202,0.15333770948477501,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2035,0.0007383621912230871,0.000305638417201521,0.00153286509957321,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.137993991806304,0.123235571564572,0.154713556899394,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2036,0.000744979072649906,0.000307912551929331,0.00154675851085163,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.139300459872307,0.124381533870562,0.156025164486512,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2037,0.0007515858949068221,0.000310179623130532,0.00156077958669518,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.140605626021803,0.125474118382787,0.157288815461819,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2038,0.0007583330044359831,0.000312879731751508,0.00157596523415365,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.141942003433965,0.126610573109506,0.158681485999803,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2039,0.000765090068304322,0.000315790777073698,0.00159114636059984,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.143284437220984,0.127802560739402,0.16006826640980099,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2040,0.000689982639194085,0.00028595451145667,0.0014281564834900898,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.129163639867839,0.11649685460058999,0.144602317250979,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2040,0.0007717184158038511,0.000318682687225312,0.0016054682794912,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.144606071185274,0.129097026974755,0.161648686843987,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2041,0.0006933914986720041,0.000287256479335386,0.0014350214580053,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.129862751651096,0.11710798559852799,0.145413903025091,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2041,0.00077813033236085,0.000321320917647132,0.00162014270651158,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.145886452686263,0.13017557966475302,0.163148531380203,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2042,0.0006964420690857411,0.00028845343700202,0.0014411694827320902,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.130488700996624,0.11765890867312101,0.146098865644537,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2042,0.000784522762672017,0.000323886749346916,0.0016354436805944498,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.14716329443606702,0.131178693545317,0.164634554547182,GBD,Infectious Diseases
Fungal skin diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2043,0.000699258638234922,0.000289584175260479,0.00144675581295584,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.131068320074699,0.118145352206454,0.146704516275135,GBD,Infectious Diseases
