Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0027522924656436997,0.0018940121123105999,0.0038568498921449,GBD,Fertility,Prevalence,"Rate (per 100,000)",Past estimate,0.1648231,0.14688593,0.18281830999999998,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00264858814157994,0.00182591092889293,0.00373164857998903,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.162947752032772,0.145414299832518,0.180918916657898,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.0025929356614805697,0.0017874698841038698,0.0036577989242164697,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.16152662523876898,0.144046062689709,0.179160831596218,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00254309876229984,0.00175237404079992,0.00358842916655727,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.160271003687216,0.14281692050658298,0.177651545998734,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0025008520219427003,0.00172546366640635,0.00352592619099,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.159100945718272,0.141965033914853,0.176521999307007,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.0024608958923806098,0.00168535425006688,0.00347478558442062,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.157996017682494,0.140862295832197,0.175500413127787,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00242460474361174,0.00165917711107492,0.00343430959105455,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.15701984555523202,0.139952426326751,0.17463000438971002,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00239106091804611,0.00163669454055308,0.00341533146075586,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.156058357991336,0.139001567533697,0.173800743925306,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.002357369185543,0.00161462837680793,0.00338902354267966,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.154961241512675,0.137852461430333,0.17250532700578397,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00232588131897484,0.0015892023020295301,0.0033546337657463,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.153694600859285,0.136309851226956,0.171429475896975,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00229564488576377,0.00156410619047004,0.00333411826351679,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.152295326568823,0.134704660932156,0.170210863194554,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.00226723115854823,0.0015386906672498401,0.00331178074122595,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.150826230278088,0.132790139446791,0.168801657053296,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.00223908784034667,0.00151646108446773,0.0032789977337249004,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.149263578748375,0.131233732348381,0.16746724858044199,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.00220944748331202,0.0014981698616409098,0.0032610506422842598,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.147556475627547,0.129645066032241,0.165752055597228,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.00218131168302927,0.0014627264954499,0.00325817882039972,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.145751553708449,0.127619456277751,0.164295158707116,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.00215382111035667,0.00142879466167211,0.0032404608093710902,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.14391598625972798,0.12550458644694298,0.162656243299017,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.0021250930283222102,0.00139705913149261,0.00321208058825406,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.141982868883658,0.12337748606528001,0.160745534870837,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.00209729339913546,0.00135668604634371,0.00319279751314654,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.140053783736339,0.121288586299899,0.15945082639344,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.00206958534353688,0.00132414048810474,0.0031806532033230796,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.13818741150771602,0.119304779098163,0.15785643780046898,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.00204272629092596,0.0013000560309107,0.0031652402923653396,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.136443949680987,0.117711959539493,0.156520132169472,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.00201913081568925,0.00126878977831211,0.0031368572693194698,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.13491587782831502,0.11616824342330699,0.155616423690614,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.00199790059677203,0.0012411910907856201,0.0031251235133581503,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.13354221874406,0.11487151941948899,0.154848335541527,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.00197784098142097,0.00121782011611486,0.0031197210171440798,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.132319466120172,0.11359698598359401,0.153975824044463,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.0019587690070601,0.00119757780798526,0.0031346132440223896,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.13125742245603,0.11243231556414399,0.152836720894144,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.0019420485608978898,0.00117870701610788,0.0031397850204378398,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.13038562333751702,0.111519165139307,0.151928908462865,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.0019285001828018098,0.0011634524423581399,0.00313962803720784,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.129771314043368,0.110796044551677,0.151831387285041,GBD,Fertility
Gynecological diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.0019179601306830401,0.0011514366365300399,0.00313573046873701,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.129376211202231,0.110259605066563,0.15190894227996699,GBD,Fertility
