Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0008441452932840999,0.0007286116025901001,0.0009898009439241,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Past estimate,0.0043703113000000005,0.003664031,0.005051421,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.0008826843912193251,0.0007612852027906401,0.0010272452070291599,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0045937241188486,0.0038283879135058,0.00534622903366867,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2024,0.000914410395819459,0.0007898474064137519,0.00106843915599974,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0048155760639053,0.00400375343835796,0.00561715396471922,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2025,0.000957229266449063,0.0008231868692012731,0.00112326247286148,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00510071553568329,0.00424013032192737,0.0059450799428406795,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2026,0.00101111499037523,0.000867740272090727,0.00118946628275387,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00544404235414639,0.00453656563148517,0.006308516140774189,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2027,0.00106237123944774,0.0009102356386319271,0.00126635477938525,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.005782793710286871,0.00480772435852142,0.00670406568623921,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2028,0.00110987619586368,0.000948892550757068,0.00132799462419748,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00611284033014751,0.00503466529175234,0.0071284678467302505,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2029,0.00115341065691669,0.00098032559493031,0.00138324162542013,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00642978848168426,0.00525984922829865,0.007538248542130961,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2030,0.00119343645077866,0.00100610480346771,0.00144081524974259,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.006730710746110671,0.00551016021921659,0.00793660731879573,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2031,0.0012307262351728499,0.00102929339686791,0.0014948736233178098,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0070135314190869,0.00570800403870163,0.00839423176001789,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2032,0.00126446764415791,0.00105211670105798,0.00155474379359859,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0072773353132978506,0.00589043462127729,0.00876985534061748,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2033,0.0012949729677968302,0.00106899360554664,0.0016109798829563801,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.007524573118892809,0.006052280262980899,0.00916446751856043,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2034,0.00132274702938636,0.00108340725304605,0.00165279184897044,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00775416842411533,0.00617586088160466,0.009521970106554459,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2035,0.0013480170954008098,0.0010955460469397802,0.0016907069396230301,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00796590202376889,0.00631052136646079,0.00986814028404742,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2036,0.00137060245393198,0.00110656790405433,0.0017469813716853699,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00815891599102426,0.00641801435002641,0.0102760265970404,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2037,0.00139139827732333,0.0011193014922993,0.00179087881659945,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00833397130092725,0.006508191718557529,0.0106442695850821,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2038,0.0014100095588268,0.00112811373883429,0.00183892745732707,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00849319453276671,0.00656924770766394,0.0109913424139717,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2039,0.00142711889968508,0.00113353536151273,0.0018816270902627,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00863777881547376,0.006620753136442291,0.0112856942009499,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2040,0.0014423918937579501,0.00114068185413992,0.00192000543448682,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00876817535330977,0.00668113243676406,0.0115626209350873,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2041,0.0014568764246918,0.00114492936243194,0.00194838276409249,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00888894514221272,0.0067484751256803996,0.011774686123562502,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2042,0.00146991692700891,0.0011490027713929902,0.00197617554374557,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00899966671460584,0.006807817002063029,0.011992873643836399,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2043,0.00148154413355792,0.0011524503007563401,0.00200061120943238,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00910011570920739,0.00684748704262062,0.012176355537337499,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2044,0.0014920258996403899,0.00115530182947546,0.00201955915216768,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00919318879976644,0.00688646980422742,0.0124059112630239,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2045,0.00150141417370917,0.00115225760969495,0.00204021174656842,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00928040510213274,0.006925025379791711,0.0126223746050218,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2046,0.0015101842332218701,0.00115010893123993,0.00206216237718771,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00936661366621904,0.00695866250217901,0.012839932570066602,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2047,0.0015186201253502799,0.00114790674047058,0.00208709631169803,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00944951365505098,0.006992588002689651,0.013038432322989199,GBD,Infectious Diseases
HIV/AIDS,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2048,0.0015254440902468598,0.00114479097566988,0.0021052361820465,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.00952627140069337,0.007028856806986459,0.0132036954759521,GBD,Infectious Diseases
