Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.005415473959355199,0.0011501323489051,0.0114023953159088,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.29980078,0.2765993,0.32478276,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00544684184012561,0.00116094371896309,0.0114521802805766,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.302091378483251,0.278794949553248,0.327527531427913,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.005463424257776831,0.00116947281127467,0.011502937740172399,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.303469453323671,0.279814132977291,0.32899258528145997,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00547962860488094,0.00117809919061705,0.0115497812200213,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.304760253220271,0.28103195575617,0.330075350001326,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.005493759541042379,0.00118611180921459,0.0115859722813076,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.305852423043745,0.282318407006367,0.331099389725301,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.005507270006773859,0.00119389535086968,0.0116151078121861,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.306885983259097,0.283153284276632,0.33213342468401896,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00552027021293708,0.0012017482208173701,0.0116395627434492,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.307897434442083,0.284219807020995,0.33300337773361005,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.005530879340992381,0.0012091449753764201,0.011655448271099699,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.308771744230716,0.285245030641894,0.333396715299486,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.005537286332236901,0.00121546151944572,0.0116590222911135,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.309395200041794,0.285927224130673,0.333578677701874,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00553705937022444,0.00121997411177432,0.011650492446503399,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.309640146549523,0.286077618876752,0.333757600651765,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.0055337380991390605,0.00122282445796875,0.011639330774934198,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.30978935486086,0.286376286946618,0.333972926167902,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.005528036305312309,0.00122438336199067,0.011620343339937599,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.30990670775929896,0.286467834982481,0.33410568572382904,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.005519430879325981,0.00122462273114793,0.0115937746708283,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.30994710209855597,0.286651745526989,0.33409943529677405,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.00550758256165745,0.00122355497278861,0.011560248044970899,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.30987521105870897,0.286878021217902,0.33398248579894,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.00549169068125904,0.0012211277409402,0.0115205919596846,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.309654742925485,0.286275110024069,0.33415104745814095,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.00547464016584145,0.0012173237095344101,0.011478852167072501,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.309388808862338,0.285722603546057,0.334020579541481,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.00545649275109795,0.0012121897119603,0.0114344395097185,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.309097409632934,0.28560384531606103,0.333851240857831,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.005437420939752629,0.00120952161008245,0.0113977139904874,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.308774849232103,0.284914298773025,0.333643214104152,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.00541788012149492,0.00120722007291789,0.011369398099544402,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.30842413238580296,0.284503811591035,0.33316856818844,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.00539790782796075,0.00120402929539227,0.011337574497975199,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.30804603115770596,0.283729659530446,0.33284877270064395,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.005378998485352351,0.00119998668447793,0.0113043626516559,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.307677600275788,0.283224128591181,0.332593518857268,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.005361094353334501,0.0011972669830882,0.0112709334708495,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.307333673436356,0.282957577764901,0.33274174545223095,GBD,Other
Headache disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.00534449369871114,0.00120222600843313,0.0112388055387654,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.307025645491756,0.2827387360573,0.332827317668768,GBD,Other
