Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Hemoglobinopathies and hemolytic anemias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.000690119143963243,0.000523789306121554,0.000920077886181664,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.264275844337411,0.251586186743891,0.27971448769440804,GBD,Other Onco Hem
Hemoglobinopathies and hemolytic anemias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.0006947375251539439,0.000527836976726923,0.000926225013971215,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.26459533891556997,0.25186273372967,0.280039954672589,GBD,Other Onco Hem
Hemoglobinopathies and hemolytic anemias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.000699801460636023,0.0005318938723890731,0.000933144824734028,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.264923177344664,0.252140734790438,0.280370650558491,GBD,Other Onco Hem
Hemoglobinopathies and hemolytic anemias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.000705569078691139,0.000536472053910525,0.000941788739174204,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.265260487505583,0.252428135286025,0.28070304672376,GBD,Other Onco Hem
Hemoglobinopathies and hemolytic anemias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.0007118693602173541,0.000542003285023806,0.0009502679698047081,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.265604413353549,0.252682710859797,0.281061487778878,GBD,Other Onco Hem
Hemoglobinopathies and hemolytic anemias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.000718280034154091,0.000546851924407474,0.000959701347310902,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.265970598647918,0.252982266536076,0.28143077664141697,GBD,Other Onco Hem
Hemoglobinopathies and hemolytic anemias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.000724372451315368,0.000550408368650256,0.0009679026079513049,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.266292974549041,0.253252026638757,0.281756028144239,GBD,Other Onco Hem
Hemoglobinopathies and hemolytic anemias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.000730561558993176,0.000553989896623778,0.0009754365360334199,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.266614277550913,0.253516403390753,0.282087724567849,GBD,Other Onco Hem
Hemoglobinopathies and hemolytic anemias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.000737172981173806,0.00055999003897159,0.000983850253965498,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.266940902710395,0.253785630119485,0.282454955520057,GBD,Other Onco Hem
Hemoglobinopathies and hemolytic anemias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2049,0.0007438674837253591,0.000565449952911979,0.000991623477935896,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.267271187112216,0.254077718267196,0.282810284867254,GBD,Other Onco Hem
Hemoglobinopathies and hemolytic anemias,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2050,0.000750276934123017,0.000570876651508048,0.000999370826896603,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.26762585204831096,0.254403658728983,0.283195798147944,GBD,Other Onco Hem
