Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0040162847669525,0.0028237694997761,0.0052762727920127,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.0028470395999999998,0.002171738,0.0036746634,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00412354327480538,0.0028880480892307203,0.00536951558539458,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0029778096932832,0.00225525611520377,0.00385837840124599,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00426887880709639,0.0029687750784429395,0.00557810278098088,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00310680011238523,0.0023413258379506702,0.00406459269723658,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00440840527976194,0.00305342238876126,0.005780926613723579,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00323970006920267,0.00243200936630445,0.00424081331813175,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00456853263455155,0.00314345942537846,0.00598133445243685,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00338706669495432,0.0025373056683668,0.00444606806388207,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00473470930397768,0.0032460905246064196,0.00621744521334782,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00353969903760789,0.0026450344376308904,0.00466507617531777,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.004924734760912829,0.00337552331620578,0.00643903305111842,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0037072754602905504,0.0027581901248434097,0.00491908701819782,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.005127422520812159,0.00352567759384344,0.00670015762993903,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0038851917501239804,0.0028800255618050396,0.00517681130387198,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.00534814714326803,0.00370376960229074,0.0070183307965153005,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00408261048250071,0.00299178449673013,0.0054419960852462495,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0055676274952363896,0.003865389738713,0.00733904100835504,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00427588205935627,0.00313080826604753,0.00571510318143168,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00577997490643185,0.00401306928077882,0.00763363386049165,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00446393032920666,0.00327168065158167,0.00599948527505226,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.0060284722052077406,0.004161001193540279,0.00799457228360409,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00467456676910429,0.00343316823097755,0.0063158873236184195,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.006307478411311469,0.00434414957175992,0.0083753628232096,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0049092225453376695,0.00359060368053326,0.00663511590663771,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.00656780890913926,0.00449775864148418,0.00874197339727215,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00513725449504968,0.00373027332331512,0.00696198536456925,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.00682442491119022,0.00465870280005319,0.00913795469899612,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00535622982095207,0.0038691177429018304,0.00728421524588793,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.007093744831132389,0.0048360762437229,0.00955974033047802,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00558266956194986,0.0040265671962574,0.00760982051995049,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.00736315740033585,0.0050017409043205405,0.00999173843685145,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0058047179574343,0.00418109611344036,0.00796901451274999,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.007659293596783421,0.00519199763754238,0.0104370908774952,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.006044128213702789,0.0043203782867299294,0.00835360333783097,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.00793764953441216,0.00537839775900579,0.0108609685129084,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.006277508473773319,0.00444924602680642,0.00875242426239678,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.008202725158270729,0.00555680185925375,0.011258154166792001,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00649399681731125,0.00455421646487725,0.00914091022296962,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.00847023628169396,0.00571076088563496,0.0117344881237527,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00670637562141789,0.0046538256895830195,0.00950916820494077,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.00876344771445202,0.00586838532830483,0.012255418394598601,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0069266363944994,0.0047809803202544,0.0099267321812093,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.00904104374487933,0.00601394662524514,0.0127587649778977,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00713280566207491,0.004861704630745999,0.0102820461668364,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.00933250161415874,0.0061816614540515,0.0132629487615835,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00735014790734007,0.00496989174244882,0.010682983086317899,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.00962241206137482,0.00631979063819901,0.0138539009972889,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00755577132573525,0.00509988697367319,0.011042806464657001,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.00992670771734982,0.0064665642597501695,0.0144688606593144,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00776707672072504,0.00523787423831158,0.0114016827329705,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.0102575391714895,0.006645699006233129,0.015124733357093101,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00798382949638826,0.0053317229289618,0.0117584355888187,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2049,0.010581077372278501,0.006811898327968881,0.0158515329756567,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00819183330068397,0.0054268623824153895,0.0121369296964682,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2050,0.010948355010749101,0.00698537093243678,0.0165513350465549,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00844066537586974,0.00557796988764151,0.0125711253154638,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0019064443547178,0.0015825744229329998,0.0021341762751887,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.003758896,0.0027928163999999998,0.0050311782,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0047967772319539,0.003998296391052,0.005305751113139301,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.0030094376,0.0021123167,0.0041909846,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0066674877869202,0.0054465471578481,0.007362862368925699,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.004984657,0.0037808616,0.006361415,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.00182724416492557,0.0015324564439876801,0.0020725667698008802,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00385423782399569,0.0028068308368114202,0.0052200575343632795,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.00477146051163184,0.00391242524247109,0.00533050376388195,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0031204424099367297,0.00218458842207056,0.00425514193577716,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.00671783712173725,0.005434816293693579,0.0075574337183855,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0051318885392549396,0.0038459082674867397,0.00656617130278911,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2024,0.0018662474733472701,0.00155661360919882,0.0021339438681170298,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.003924687330909359,0.00285918162492235,0.0053326641084872695,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2024,0.0049364908244966,0.0040504602748149,0.00553768681790537,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00319915332433947,0.00223327257530123,0.00437914458678602,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2024,0.0069351970469425,0.00561107357303614,0.00784149285623006,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00525493161233458,0.00393041368491198,0.00669838612027674,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2025,0.00190226020129814,0.00158430089604546,0.00218045656839375,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00400067226572077,0.00292242607868559,0.005414380293900071,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2025,0.005067352578299119,0.00410777330486894,0.0056776157212437,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00326291876254921,0.0022950913413024797,0.004462483046005,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2025,0.00711320507905278,0.00574736152717623,0.00809062392152966,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00536348787336458,0.00400415731438527,0.00683364834323694,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2026,0.00193102175494285,0.00160079125231939,0.00221672897374577,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0040791913650599,0.00296701340821613,0.005530970363226249,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2026,0.00517373287028013,0.00415990573799597,0.0058265671463547004,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00332623619890716,0.00233487420162991,0.00456132474920733,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2026,0.00726472155867382,0.0058170599577232395,0.00828685312546397,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00548620646988417,0.00409408939634863,0.00702596218015453,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2027,0.0019709811300676,0.0016288694909153,0.0022615772867056,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00418460675458645,0.00302995536431344,0.00569297520201382,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2027,0.005291219683601541,0.0042490312050061495,0.0059582405565285,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00339202293520071,0.00239114423432725,0.00464633547639227,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2027,0.00742665604525192,0.00591977255841869,0.00850829396539196,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0056163749675965805,0.00420368507881352,0.00721448753972349,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2028,0.0020080649442558497,0.00164441601578285,0.00230037807716804,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0042772103516583795,0.00308513061799436,0.00581460517619638,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2028,0.005392592608180849,0.0043370776553068495,0.0061386026955636604,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00343770888499749,0.00242299858084062,0.00471997604324807,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2028,0.00760213142401149,0.00605178415284962,0.0087150586695553,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.005741714611287229,0.0043180719322948,0.00734020232242135,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2029,0.00205424806347472,0.00167292756242653,0.00236081909759365,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0043874846331087795,0.00319740873321576,0.0059538041627307,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2029,0.005499186632363671,0.00439976585189069,0.00633124214952392,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00349050423173684,0.00246558254716371,0.00478099303007203,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2029,0.0077990123648794705,0.0061902603777134095,0.008901515214444251,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00588515904343014,0.00441916074029978,0.00748353234519725,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2030,0.00210208408788545,0.00171357188382479,0.00242197753397986,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0045050176185692,0.00330287896229771,0.00614886013997652,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2030,0.00559611864137294,0.00444016028565825,0.00646319845637475,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00354629034503394,0.00250234367642341,0.00487953382178308,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2030,0.00799838616954463,0.00631367225634708,0.009217698368191281,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0060383755374552595,0.00450497799241071,0.007728269404801561,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2031,0.0021399405998455,0.00174000076277956,0.00247758033244923,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00460416867434,0.00336258489550654,0.00628797640866119,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2031,0.00565376523381532,0.00450882421117419,0.0065314334437309605,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0035917943249910702,0.00251775890007621,0.0049268044959053705,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2031,0.00813491142383278,0.006459569076347761,0.00939277836363636,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0061656637213735495,0.00460773228522798,0.00791711557290409,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2032,0.00218463014386486,0.0017801346965926,0.0025399606164978,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00471666562991301,0.0034201392548522803,0.006448944567980771,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2032,0.005677545162725399,0.00453647447544457,0.0065124159347481805,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.003625065493522,0.00254045042724905,0.00497912590829112,GBD,Cardiovascular
Hypertensive heart disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2032,0.0082822952018081,0.00658129551625249,0.00956311365204363,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00630409636585024,0.00473065918775414,0.00815005396871477,GBD,Cardiovascular
