Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Idiopathic epilepsy,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.00105388400473864,0.0006641311232751739,0.00154269871993935,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00274348129696198,0.00183353999613973,0.00382456167601061,GBD,Neurology
Idiopathic epilepsy,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.00106294576070018,0.000662959126387735,0.00156822621662437,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00278905140943124,0.0018477778453952602,0.00393133253120468,GBD,Neurology
Idiopathic epilepsy,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.00107163155095728,0.000663224972789294,0.00159405848207989,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0028329772075994498,0.0018644294444178102,0.00403529398241063,GBD,Neurology
Idiopathic epilepsy,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.00108104116792845,0.000663295280335792,0.00162042190003539,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00287915961010307,0.00187945467837633,0.00412154537370125,GBD,Neurology
Idiopathic epilepsy,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.00109099968712762,0.000663356752169615,0.0016454739427028801,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00292729086265168,0.0019001823416584,0.0042267915068495195,GBD,Neurology
Idiopathic epilepsy,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.0011016619082063301,0.000661208255919176,0.00167018394610547,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0029774016720383297,0.00191428705541289,0.00432897849302018,GBD,Neurology
Idiopathic epilepsy,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.0011132915978816701,0.0006617041233815639,0.0016970621100509502,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0030306211827807903,0.00193295476893006,0.00443672353060131,GBD,Neurology
Idiopathic epilepsy,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.00112573368582095,0.0006637516470843311,0.00173380997980459,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0030835601365687597,0.00195353214461233,0.0045434766113558,GBD,Neurology
Idiopathic epilepsy,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.0011385558861782199,0.000663509775993307,0.0017676555686508102,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00313821083620325,0.00197340095493291,0.00466341789335526,GBD,Neurology
Idiopathic epilepsy,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.0011519133687983001,0.000666348055539665,0.0017977851286514498,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0031947972834678,0.00199932622827209,0.00476678915514662,GBD,Neurology
