Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0012811715062871999,0.0010967857853243,0.0014934700328982,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.0033084478000000002,0.0028263377,0.003991367,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.00124551438393443,0.00105219491260505,0.0014571748744721,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0032689974548172304,0.00278396203866017,0.0038719978608550702,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2024,0.00125345235935343,0.00105991363366234,0.00146390063919448,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00324384045816759,0.00275125736789385,0.00384015952544846,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2025,0.00125866354893485,0.00106885679407882,0.00146170545474179,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0032167559653247203,0.0027456499913307802,0.0038177886676517103,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2026,0.00126052799028138,0.00106993824687336,0.00146868878860558,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0031918420961569503,0.00271803174946198,0.00378751868510833,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2027,0.0012634751917717099,0.0010687474263442699,0.00147470785952907,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0031712079933668203,0.0027124424829518398,0.0037609059197589697,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2028,0.00126705232122996,0.00107050451100426,0.0014802564743873902,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0031466217006946903,0.00265853489663616,0.00375408956784937,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2029,0.0012711965633476101,0.0010744574489862,0.00147896297507719,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0031258593606526604,0.00263216891829974,0.0037182262937707996,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2030,0.00127209690004897,0.00107879599795965,0.00148832299635063,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00310014977768937,0.00260604209430222,0.0036906448153620403,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2031,0.0012689040245915599,0.0010790368431022501,0.00148437636806889,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00307219130024353,0.00258845784959778,0.00364371711258603,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2032,0.00126542747457117,0.00107319684640497,0.00148410854624252,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0030500410501208396,0.0025713602130117,0.0036325738817114,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2033,0.00126336403701207,0.00107270642594833,0.00147995925986256,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00302832285328936,0.00255464622388903,0.00361656161037742,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2034,0.00126185324355932,0.00107521222236791,0.0014915233846294002,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0030078854145389,0.00252995610525275,0.00360806102740135,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2035,0.00126108191955908,0.00106396977003732,0.0014869762469250302,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00298706173859842,0.0025223877539713,0.00358334857370255,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2036,0.0012588740976666299,0.00105980760743968,0.0014891890260130798,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00296782220352879,0.00249903599937834,0.00354888800539608,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2037,0.00125956027216556,0.00105933222635671,0.00149047912665073,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0029510790660186,0.00248526594288278,0.00352894507892401,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2038,0.0012612061318174898,0.00105804673230287,0.00149648959551663,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0029332847377551703,0.00246422239838543,0.00353452672116835,GBD,Immunology
Inflammatory bowel disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2039,0.00126368558971778,0.0010516172165213101,0.00150713518468976,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00291760719160599,0.00245802744506416,0.0035001069763250098,GBD,Immunology
