Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Interpersonal violence,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0011884783796786,0.0009729088003472999,0.0014172945754637,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.062493235,0.055618715,0.06891548,GBD,Other
Interpersonal violence,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.0011579372723818598,0.000936666806121282,0.0013985463634962599,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0623050875404431,0.0553972199649678,0.06864588729535151,GBD,Other
Interpersonal violence,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00114804080328505,0.0009273374220368071,0.0013861313012372301,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0622518560270067,0.0553601128428641,0.068436078366059,GBD,Other
Interpersonal violence,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00113937698518041,0.000921487347682975,0.0013780752688826602,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0622204866339488,0.0554373129183963,0.0684384363963005,GBD,Other
Interpersonal violence,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0011307461940231,0.000912718815993188,0.00137000747715183,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0621895746718073,0.0554984782565911,0.0685349407388582,GBD,Other
Interpersonal violence,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.0011216791861778,0.000902995643266453,0.00136178173780153,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0621756363655203,0.055513537578179305,0.06842837685409969,GBD,Other
Interpersonal violence,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00111542361963866,0.0008983005138869071,0.0013546004998344302,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0622145485159949,0.0556542704784555,0.0684238087181849,GBD,Other
Interpersonal violence,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00110946334061659,0.000893170433898479,0.00134807411846782,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.062262420682307605,0.055764904565918996,0.0684840272241685,GBD,Other
Interpersonal violence,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.00110346135262521,0.0008855934185714589,0.00133944126846503,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0622976769816261,0.0558088600465761,0.0685124965801582,GBD,Other
Interpersonal violence,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0010957834156690499,0.000878256402080346,0.0013301531158783398,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.06227588349325,0.0557857809790183,0.0684919874648097,GBD,Other
Interpersonal violence,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00109008063224355,0.000872347605259439,0.0013236706213664601,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.062277062395762396,0.055781728359353,0.06847285577664851,GBD,Other
Interpersonal violence,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.00108462332770388,0.000867554343775821,0.00131814988658607,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0622869997072985,0.0557743843294738,0.0684537366614686,GBD,Other
