Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0256570945561173,0.021401778226085397,0.0301101425789506,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.045938764,0.039121103,0.055390550000000004,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.024042687530204297,0.0202502261369433,0.028283005003559902,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.047214706649296605,0.0399783709271844,0.0569891028113411,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.023974506979918,0.020332547110624,0.0280455050902619,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.048733812790151494,0.041187075175351,0.0588740466283189,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.023870618381166,0.020314698118931,0.0279381859364157,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0502861935606694,0.042404635574027995,0.060793116149051,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0238256275331779,0.020335833512593198,0.0278659822214382,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0518269935554289,0.043618574643856,0.0626881965006745,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.023781155593941297,0.0203078704057758,0.0279002344075837,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0534363544695335,0.044958290290099706,0.0646453785136545,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.0238540092338967,0.020441870565613397,0.028033470754926303,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0551737792948645,0.046408728749706696,0.0667350362374588,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.0239467543326956,0.0204132199779045,0.028112674744186803,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0569737247934923,0.047845236020493905,0.06889156635831391,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0240507161221661,0.0203746072933408,0.028320996607797102,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0587755952189145,0.0493578068036341,0.0711200883760977,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.024146192527211,0.0204229226662348,0.0286053818795156,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.060522633631119094,0.050837468302452296,0.0732848061694166,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.0241764348179182,0.0203443845973362,0.0287379032213053,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.062287442604632495,0.0523523106696127,0.0754748742972562,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.024347079476382903,0.0203513289098113,0.0290049649352813,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0641327373297145,0.053875271514940495,0.0777598224002644,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.0245760607463109,0.0203247683673957,0.0295038831817663,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0659946320194485,0.0553499273502078,0.0801174170335136,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.024682803969177,0.0202362692414312,0.0298447381691989,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0678183331417348,0.056844861569955,0.0824462937729985,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.0247488054866938,0.0201094265593118,0.030203007913902603,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0695548769626769,0.0583263778779551,0.0846030631683182,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.024823634788741902,0.0199677095442315,0.030650671980002698,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0712788514362413,0.0597551521679687,0.08676292079728541,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.024841454834052,0.019741762023190598,0.0310336047053867,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0730582519146127,0.0612661019302124,0.08899941388789921,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.02489913782708,0.019540622136581903,0.0313486884669939,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.07483599877827819,0.0628582299252073,0.09126141045511649,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.024870925013811402,0.0193429524259335,0.031468711250177195,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.076558126568138,0.0643561763123831,0.0934011830666258,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.024773366461591898,0.0191045801373079,0.0315661712082984,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0781776994974201,0.065681640940848,0.09533046105149709,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.0246778769174539,0.0188755167180682,0.0316324685823057,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0797674720906453,0.0669175714056581,0.0973209737800176,GBD,Cardiovascular
Ischemic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.024696016454051402,0.0187087047118218,0.0319549916472919,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0813985258085534,0.0682534340493223,0.0993960872618661,GBD,Cardiovascular
