Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Low back pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0074890413265295,0.005242190984428,0.0101377572987243,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.06636004,0.057782333,0.07501167,GBD,Other
Low back pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.0081289714220097,0.005708255007589549,0.0110127555899356,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0721274654136372,0.062827332991824,0.0813938182504243,GBD,Other
Low back pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.008233073518929029,0.00578153715546647,0.0111360055458325,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.07311547446681879,0.0634869263042972,0.08242692465193449,GBD,Other
Low back pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00833566860443177,0.00585195405789962,0.011260284298859799,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0740924192766591,0.0642362405018743,0.0833656338993905,GBD,Other
Low back pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0084383799924992,0.00591988421187014,0.011388131521473398,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.075069727917805,0.0650287305953514,0.0844282695724728,GBD,Other
Low back pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00854255137135934,0.005997507482800301,0.011521598289788501,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0760648513273616,0.0658963413287594,0.08571986333151049,GBD,Other
Low back pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00865051734471569,0.00607826209809754,0.0116621396317897,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0771024256556437,0.0668007241601259,0.08694652858070451,GBD,Other
Low back pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00875772643274292,0.0061590790298356,0.0117950606698917,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0781376130332831,0.06770722037868329,0.0879769437396405,GBD,Other
Low back pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.00885828936276511,0.00623613116725338,0.01193587657319,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.079114065370583,0.0685949768797163,0.0889092570059834,GBD,Other
Low back pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00895211527862761,0.0063096321891311195,0.0120657063778217,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0800274578462334,0.0693758629951254,0.0896887996841608,GBD,Other
