Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0034103279217513,0.0022388564425994,0.0049038426289441,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.034295518000000004,0.02665839,0.04253486,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00344984664833462,0.00227318571795979,0.00494641681619427,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0347673993819939,0.0270254517009232,0.043104980511097804,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00348560816319313,0.00229733543684639,0.00499040122881723,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0351571631594368,0.027371229824831998,0.043451470653362904,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.0035210040283199695,0.00232149992753398,0.00503141339332552,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0355436750008013,0.0277243690575619,0.04381868625518939,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00355549060949232,0.00234481626752889,0.00507543095289227,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0359201827524222,0.0280489302588554,0.0442466326021852,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00358932533691286,0.00236811419881178,0.00510159231925568,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0362901352118803,0.028312715415183404,0.044608177329007404,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00362284782522582,0.00238986925895448,0.0051152453868328,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0366582627184437,0.0285820370291064,0.0450102079663106,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00365559701289384,0.00241255155520526,0.00514145117344445,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0370192950638806,0.0288206140406317,0.0453947481977824,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0036870463130687604,0.00244004347073648,0.005178748878738849,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0373673315931357,0.0291080224839165,0.0457776133611379,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0037166687079051297,0.00246633776327747,0.0052141278434194895,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.037696504143505,0.029422047175316303,0.0461757364990687,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00374564843875561,0.00248574251683075,0.005249175131905809,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.038019478906478596,0.0296913904359233,0.0466558350207876,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.0037744555736191105,0.00250465605377643,0.00528332531681309,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0383418437449414,0.029957472912133798,0.0471641044265476,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.00380202979536351,0.00251986162640665,0.00531942337267492,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0386521858073961,0.030136571499824398,0.0475731885709704,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.0038273680612988803,0.00253467046643321,0.00535297869492165,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0389397823942472,0.030310486445947,0.048057434794441196,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.00384956779652464,0.00255047948360593,0.0053783308862773,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.039195003880598704,0.0304790130827756,0.0484284087377937,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.00386981896437589,0.0025660485912469802,0.005400587399668489,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.039430412026369197,0.0306590585809299,0.0488124843846096,GBD,Other
Neck pain,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.0038889845701679296,0.00257222332296761,0.00542579905072144,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0396556082084616,0.030859349626723303,0.049218399704137904,GBD,Other
