Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Non-rheumatic valvular heart disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0018795201782031,0.0016005003078446,0.0020700846994872,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.011438349,0.01001758,0.013158383,GBD,Cardiovascular
Non-rheumatic valvular heart disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0029119681565860996,0.0024864448812262,0.0032231537159114,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.016824188,0.014857906,0.019144181,GBD,Cardiovascular
Non-rheumatic valvular heart disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0019757510790217,0.0016729022448512,0.0022874702960121998,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.035739295000000004,0.03369745,0.037756257,GBD,Cardiovascular
Non-rheumatic valvular heart disease,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0021253689676713,0.0018068814332785,0.0023423836481316,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.012195412,0.010769799,0.013707595,GBD,Cardiovascular
Non-rheumatic valvular heart disease,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Past estimate,2022,0.001646298327987,0.0014802896997494,0.0017992896199539002,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.013199194,0.012042808,0.014491346,GBD,Cardiovascular
Non-rheumatic valvular heart disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.00182473836900619,0.00151308268541973,0.0020523055463894,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0121016673549144,0.010696159598351702,0.0137829265438156,GBD,Cardiovascular
Non-rheumatic valvular heart disease,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.00202862246946566,0.00169378307193723,0.00226230309115139,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.012621413152395,0.0109702723032634,0.0142402092757855,GBD,Cardiovascular
Non-rheumatic valvular heart disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.00292172619228496,0.00245627542753508,0.00324524563651275,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0181202380667931,0.0159392445273614,0.0203419426319226,GBD,Cardiovascular
Non-rheumatic valvular heart disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.00199571009005645,0.0016746908749035502,0.00235869497258686,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0367267690145062,0.0347779197207303,0.0387768523047807,GBD,Cardiovascular
Non-rheumatic valvular heart disease,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2023,0.0015901792978625599,0.00139998953283466,0.00175355146146847,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0135053006025019,0.0122682166675542,0.0148106704870498,GBD,Cardiovascular
Non-rheumatic valvular heart disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2024,0.00188203507630026,0.00156027414939995,0.00211446504946521,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0125019931980876,0.011058048633364398,0.014220569903610699,GBD,Cardiovascular
Non-rheumatic valvular heart disease,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2024,0.00207078334319821,0.00173302816517649,0.00231321886991896,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0129651855606585,0.0112469977258939,0.014624415950520699,GBD,Cardiovascular
Non-rheumatic valvular heart disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2024,0.00301928063330336,0.0025321901258710698,0.0033542516823819803,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0184341364591517,0.016220664327871802,0.0206988420084532,GBD,Cardiovascular
Non-rheumatic valvular heart disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2024,0.0020506087608501,0.00172653521843668,0.00242961103624466,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0376097127972682,0.0355899914094946,0.0396606888274463,GBD,Cardiovascular
