Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Oral disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0031505711166042,0.0018993486102613,0.0047621885411191,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.4230502,0.38830817,0.4581993,GBD,Other
Oral disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00320691982256227,0.00193783653617666,0.00486679558873871,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.422406248084581,0.388184291239978,0.45732305334576695,GBD,Other
Oral disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00326899924396057,0.00198084907609766,0.00495227691081109,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.422741736392667,0.38843080460069,0.45746188926996906,GBD,Other
Oral disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00333227140720912,0.0020249871890972403,0.00503961351911566,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.42325309499610203,0.388688485460816,0.45799881862773595,GBD,Other
Oral disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00339463493178592,0.00206878291691724,0.00512628768454643,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.42406615534094094,0.389123270802751,0.458875980041233,GBD,Other
Oral disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00345852467252299,0.00211405474842324,0.00521582858237574,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.425060375329226,0.389964235412266,0.46009296413757894,GBD,Other
Oral disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00352593437266855,0.0021621753635464,0.0053105583443313,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.426221673358112,0.391168862165678,0.461197438237713,GBD,Other
Oral disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00359490881662956,0.00221157624929748,0.00540724176055007,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.427616680763429,0.392816760798603,0.462509231113739,GBD,Other
Oral disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.00366367790983122,0.0022607097810358,0.00550301542927431,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.429304671991761,0.394698628047969,0.46451188019268796,GBD,Other
Oral disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00372998656594929,0.00230514761544842,0.00559422513396647,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.43137779557301104,0.396882835385784,0.46705821998534397,GBD,Other
Oral disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.0037963947571224297,0.00234962901157814,0.00568413708454966,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.43359384286943903,0.399171130351304,0.469097559574134,GBD,Other
