Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0038429654967635997,0.0018404223537292,0.007707161436733,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.110041514,0.09675326999999999,0.12319547,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00393975261729631,0.0018782863335074299,0.007891689310204111,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.112973783076958,0.09936889675321439,0.126049407144559,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00403974982859094,0.00192588110662119,0.008091381633053821,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.11581409323587301,0.101787569358977,0.129157608614618,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00414031808630169,0.00197390541500633,0.0082923301706926,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.118669205062026,0.104219414113673,0.132281123696149,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00423759084389194,0.00202045339888282,0.00848679756257117,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.12143191351722,0.10656202010539101,0.135307407051414,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00433433818913183,0.00206699224126061,0.00868511278035011,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.124181370220757,0.108890407442469,0.138322472710498,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00443265258002964,0.00211454071014627,0.00888966969352066,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.126977594484257,0.11145583595547,0.141387890721655,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00453096745736425,0.00216223723100002,0.00909472104190831,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.129775112067108,0.11413357492911601,0.144451883466185,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0046282943599531305,0.00220952620875015,0.00929807719529466,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.132544302712475,0.116734204784334,0.14746121598956602,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0047211831330616,0.00225468264008539,0.009492274828840621,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.135189503350029,0.11918561382960101,0.150314549054438,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00481276717200482,0.00229930446108262,0.00968376799018522,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.13780111917972002,0.121597338200105,0.15317497764100302,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.00490484409627802,0.00234425240542498,0.00987656995467578,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.140431225588452,0.123936893682291,0.1560680993546,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.00499548746489694,0.00238779828189978,0.0100665176051097,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.143022201885723,0.126312726967234,0.158934374156257,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.00508374681917173,0.00242975167095519,0.0102514476748909,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.145543294139225,0.128712304795017,0.16164704417725398,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.00516625231157996,0.00246893273179622,0.010424020892423001,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.147899358783877,0.130823533008472,0.164165848144196,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.005246431418588581,0.00250700693937084,0.0105908043442054,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.150188370257577,0.132777620522878,0.166608869640429,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.005326609937365801,0.00254518011458646,0.010756854248032001,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.152478847995314,0.134771249369735,0.169047093771817,GBD,Other
Osteoarthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.00540497821198555,0.0025825210221389,0.010918754793124399,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.15471794141873402,0.13681163249727601,0.171451525545093,GBD,Other
