Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Other cardiovascular and circulatory diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0070684088161307,0.0052947288365809,0.0093663670171391,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.10419363499999999,0.08338722,0.12480037000000001,GBD,Cardiovascular
Other cardiovascular and circulatory diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0028945439347869,0.0022789196720703,0.0037481825852004,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.031287923,0.022531254,0.041766120000000004,GBD,Cardiovascular
Other cardiovascular and circulatory diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0021427695166099,0.0015954882959858,0.0029507507740403004,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.027651484999999996,0.020247092,0.036385021999999996,GBD,Cardiovascular
Other cardiovascular and circulatory diseases,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.002812508078972,0.0022043036724039003,0.0036280609779564,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.03496455,0.027536021999999997,0.044112757,GBD,Cardiovascular
Other cardiovascular and circulatory diseases,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0027492928687457997,0.0022652860846253,0.0033987339506079003,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.024932253999999997,0.018784951,0.032315790000000004,GBD,Cardiovascular
Other cardiovascular and circulatory diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.00700323102036406,0.00519090907650653,0.009367194068149341,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.105275680285948,0.0852547570028397,0.126194562787792,GBD,Cardiovascular
Other cardiovascular and circulatory diseases,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.00272344492438547,0.00207539199095853,0.00357529611123088,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0348132567160897,0.027223366005134097,0.044192242345506304,GBD,Cardiovascular
Other cardiovascular and circulatory diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.00283608627223228,0.00221167046930902,0.0035575879155551,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0313316611022122,0.0226956728872385,0.0410904040034554,GBD,Cardiovascular
Other cardiovascular and circulatory diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.00212098206993079,0.0015636356077200699,0.00288934098646802,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0277215357098262,0.0204862459491369,0.0364303703538736,GBD,Cardiovascular
Other cardiovascular and circulatory diseases,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2023,0.00262824981599319,0.00213213775478026,0.00327662385302155,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0249981505401278,0.0186782266003259,0.0319612449622103,GBD,Cardiovascular
