Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0013411300463712001,0.0008632738711827,0.0020292502269022,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.018127793,0.014264252,0.022604852999999998,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.0013520537607416099,0.0008697077648329051,0.0020445963547964002,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0183163936361107,0.014420050730221701,0.0228582470562218,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00136216982339637,0.000875653591479741,0.00205792181796182,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0184693312942897,0.014552490322968499,0.023052179573475502,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00137227191236621,0.0008815763752098689,0.00207200584696209,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0186223223837856,0.014685293633144199,0.0232461434303717,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0013822352521874,0.000887444170890158,0.00208633449731324,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.018773069461252602,0.014810607355406201,0.0234375311028258,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.0013922268210762,0.000893356120967631,0.00210076994723285,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0189247780869753,0.0149345405921105,0.023630141189649897,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00140238080675453,0.000899371368471951,0.00211547618932831,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0190800198795854,0.0150618384035443,0.023826734674039098,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00141252536545234,0.0009053933112019369,0.00213019585431347,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.019235725469910103,0.015189464627759702,0.024023547233874,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.00142249613232006,0.000911333782152442,0.00214471120260435,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.019389001798008,0.015314536729295902,0.0242169309238913,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00143213476790611,0.000917117522823183,0.0021588084583061898,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0195370960267263,0.0154343726639222,0.0244032852032765,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.0014417651460063,0.000922955286904796,0.00217291514517931,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0196851193246962,0.015553530378273499,0.024589389117944102,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.00145150218204077,0.000928900848778044,0.00218719413577543,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0198353778015175,0.015673987814225198,0.0247779203733967,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.0014609894186641099,0.0009347100484298279,0.00220117250041562,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0199824652462372,0.015791336617911298,0.024954976915543204,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.0014699108728269102,0.000940963302982194,0.00221442498202828,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0201216287920356,0.015901813045803202,0.025123642420418202,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.0014779805711234702,0.000947134314122253,0.00222656093522199,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0202485963434372,0.0160026114426682,0.025279226243672803,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.0014859031695486102,0.0009531290470419889,0.00223857197144689,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0203733899786868,0.0161089286732858,0.0254331165193695,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.00149394096404567,0.000959298675505495,0.00225080585373948,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.020500271828158702,0.0162184118672271,0.0255906610844296,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.00150166800203227,0.000965314316588596,0.0022626321078126,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0206230933068169,0.0163260868136892,0.025744259954058997,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.0015086928665417,0.000970879331127239,0.0022734897378663002,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0207362070053553,0.0164325991544724,0.0258868174810184,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.0015146639027212101,0.0009757329517482491,0.00228284032148811,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0208345946926269,0.016528557889552202,0.026012252837584602,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.00152061691950523,0.000980525540952311,0.00229096178494581,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0209326688364737,0.0166248243399729,0.026137219626412796,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.00152694889298426,0.000985590317013906,0.00229894220886925,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0210364445598841,0.016726985585226,0.026268547151334802,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.00153326515485511,0.000990668800940109,0.00230686181433641,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0211401704607167,0.016829629322378,0.0263882933458875,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.0015391692598061399,0.000995498181066926,0.00231408876354608,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0212380834966267,0.016927077920647002,0.0265025172516179,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.0015442455208233,0.00099980460240063,0.00231993540858349,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.021324140094439198,0.0170135557525285,0.0266063725728681,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.00154945073809591,0.0010037786208715001,0.00232596905695939,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.021411675279905198,0.0170997795664831,0.0266955739850513,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.00155516554605271,0.0010073488616758,0.00233260308368858,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0215064763560385,0.0171914598379702,0.0267935758789681,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2049,0.00156101853055312,0.0010111016538555601,0.00234049604159088,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0216030554294767,0.0172833340322503,0.0268956370971049,GBD,Other
Other mental disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2050,0.0015665853329497402,0.00101478237066266,0.00234944057900107,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0216951871176316,0.0173694714809751,0.026995398629056498,GBD,Other
Other mental disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0014479622863467,0.0009425246001243001,0.0021079934933621,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.01993632,0.016072635000000002,0.024917886,GBD,Other
Other mental disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0015470169613369,0.0010088008281074002,0.0022835549073255,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.021282831000000002,0.017142428,0.026653020000000003,GBD,Other
