Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Other musculoskeletal disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0054074404319516,0.0037024458186884998,0.007485261590248701,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.060273606,0.051575015999999994,0.07021787,GBD,Other
Other musculoskeletal disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00572913899144089,0.00394023606829567,0.00793475192386405,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0641410865052951,0.054619417449266905,0.0751494498508599,GBD,Other
Other musculoskeletal disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.0058916221328052095,0.00405396940621638,0.00816545991486042,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0660746965917778,0.0563467084663136,0.0773971717696139,GBD,Other
Other musculoskeletal disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00606847337315776,0.00417751690154976,0.00841584169975529,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0681730610567284,0.0581889706579586,0.079946900746794,GBD,Other
Other musculoskeletal disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.006223944332280559,0.00428787121929242,0.00863108059914072,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.07002563432048779,0.0597166006855187,0.082246075071549,GBD,Other
Other musculoskeletal disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.0063738302354206305,0.00439545300585144,0.008832188494747291,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.07181372958480539,0.0611969904506108,0.0845435753747799,GBD,Other
Other musculoskeletal disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00652034396479949,0.00450159546110708,0.0090263520414248,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0735605438145315,0.0626463457066082,0.08676818175097849,GBD,Other
Other musculoskeletal disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00666603804938773,0.0046077905120381095,0.0092292044271934,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0752970733354357,0.06409144880104489,0.0888518962558032,GBD,Other
Other musculoskeletal disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.006823757456553089,0.00472336354636206,0.00945556429714769,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0771737967575194,0.065689929379229,0.0909811444971612,GBD,Other
Other musculoskeletal disorders,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00696132459919032,0.00482566456063915,0.00966375074960109,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0788170844172707,0.0671516183587246,0.0929663117849292,GBD,Other
