Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Other neoplasms,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0009692510306416,0.0008464039794359,0.0010798512467079,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Past estimate,0.013487111,0.012030671,0.015188054,GBD,Other Onco Hem
Other neoplasms,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.000966437414397303,0.000831052846773657,0.00107928241902116,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.0134738678609396,0.0120357836709422,0.0151563349153329,GBD,Other Onco Hem
Other neoplasms,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2024,0.0009880642621256349,0.0008474834768666911,0.00110276404859696,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.0135434631116703,0.0120849299226097,0.015260562734881801,GBD,Other Onco Hem
Other neoplasms,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2025,0.0010088610333732,0.000865478802718741,0.00112680423946059,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.0136120318684521,0.012153425931812602,0.0153647697567294,GBD,Other Onco Hem
Other neoplasms,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2026,0.00102831641554677,0.0008798871575576329,0.00114841942133577,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.013680345363704601,0.012214090617021299,0.0154760358976762,GBD,Other Onco Hem
Other neoplasms,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2027,0.00104834069007639,0.0009019114175175421,0.00117375606006978,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.0137494437429158,0.012269875998165201,0.0155581827374238,GBD,Other Onco Hem
Other neoplasms,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2028,0.000694042355332109,0.000597920189248169,0.0007708564536877169,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.0120922257349165,0.0097720304185694,0.014687909702822402,GBD,Other Onco Hem
Other neoplasms,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2028,0.00106969462569008,0.0009221034029242629,0.0011981742330084,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.0138165970871925,0.012326976829575101,0.015615614149021,GBD,Other Onco Hem
Other neoplasms,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2029,0.000686437540010168,0.000575132209506245,0.0007946455945018541,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.009285229818559249,0.007578745795007721,0.0111258161332059,GBD,Other Onco Hem
Other neoplasms,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2029,0.000705372723876389,0.0006049335529808571,0.0007861542446217569,GBD,Other Onco Hem,Prevalence,"Rate (per 100,000)",Reference,0.012110219052970002,0.00979683351129208,0.014729924343586099,GBD,Other Onco Hem
