Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Other sense organ diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0006967997489542109,0.00041484481062601097,0.0010836068893143199,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0289023658221496,0.0231170288968016,0.0371624809496566,GBD,Other
Other sense organ diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.000711052108874019,0.000422124744652497,0.00110844922126556,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0294920832254857,0.0235688900419582,0.037886159549740804,GBD,Other
Other sense organ diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.000725873771000769,0.000429607956353442,0.00113291770077444,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.030106873910732003,0.0239924789566756,0.0387004538295002,GBD,Other
Other sense organ diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.000740859029450549,0.00043806291879985106,0.00115671540407552,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0307299692314628,0.024399544560844002,0.0395370139447526,GBD,Other
Other sense organ diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.000755628476067906,0.00044769824380690897,0.00117989170248813,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0313457739180821,0.0247975646904343,0.0403748014119059,GBD,Other
Other sense organ diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.000769600737719297,0.00045678012344273097,0.0012013286364745601,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0319304039603107,0.025175082047339502,0.0411817809186528,GBD,Other
Other sense organ diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.000783031480980763,0.00046570549464722494,0.0012210180929343,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0324951912705093,0.0254801189924872,0.0419677387570004,GBD,Other
Other sense organ diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.0007963255799275321,0.000475121098689806,0.00123675045461083,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.033057232648313103,0.0259809744531094,0.0427498979766329,GBD,Other
Other sense organ diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.000809368744168526,0.00048454947984070203,0.00124900241868788,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0336107953126796,0.0265029476418053,0.0435204845422726,GBD,Other
Other sense organ diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.000822121631094967,0.0004938430953664379,0.0012615721125773401,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0341533752956218,0.026904699480672103,0.044274482458658206,GBD,Other
Other sense organ diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.000834355931965742,0.000502883154425391,0.0012782224887636499,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0346746794090959,0.0272092090373768,0.044938300773315995,GBD,Other
Other sense organ diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.000846569079619273,0.000511700999078596,0.0012949492471138,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.035195705631592904,0.027550855445365702,0.04571599777221359,GBD,Other
Other sense organ diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.0008589731097692081,0.000519276675780728,0.00131152876722571,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0357263074100741,0.0278755846171466,0.046397775785250894,GBD,Other
Other sense organ diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.0008711524847804389,0.000526548946554972,0.00132780021719548,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0362488823779967,0.028267318813199,0.0471557649637331,GBD,Other
