Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Other skin and subcutaneous diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0007830744920537,0.0004039875315743,0.0013894856650898,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.13938127,0.13575529,0.14308794,GBD,Immunology
Other skin and subcutaneous diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0007970114835296999,0.0003988908712207,0.0014442941533509,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.14606814,0.14200948,0.1503768,GBD,Immunology
Other skin and subcutaneous diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0008247335172932,0.0004168672845574,0.0014915154645359998,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.14956214,0.14566098,0.15356945,GBD,Immunology
Other skin and subcutaneous diseases,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0007623405066147999,0.0003811754367663,0.0013902452607788998,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.13921073,0.1352837,0.14324327,GBD,Immunology
Other skin and subcutaneous diseases,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0007205004715533001,0.00035983855391429997,0.0013150326945639,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.13157362,0.12810686,0.13498978,GBD,Immunology
Other skin and subcutaneous diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.000752121303039436,0.00038444639318419596,0.00135339146882725,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.135608362243052,0.131087602276305,0.140191053783975,GBD,Immunology
Other skin and subcutaneous diseases,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.000728629451083969,0.000357522950888335,0.00132439233217385,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.134578705234325,0.129732171131177,0.139352367709319,GBD,Immunology
Other skin and subcutaneous diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.0007683915675915139,0.000381043873959313,0.0014164362270597801,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.14230848823570602,0.137567876778844,0.147759862142455,GBD,Immunology
Other skin and subcutaneous diseases,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.000799728641566939,0.000404591957552966,0.00143389046637667,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.146491123028726,0.14142971969382,0.151898488133966,GBD,Immunology
Other skin and subcutaneous diseases,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2023,0.0006985433007692891,0.00034611927606997497,0.0012854102592108401,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.128828471509765,0.124297977169858,0.13331996131541,GBD,Immunology
