Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Other unintentional injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0007445943600893,0.0004982243602337,0.0009849360606191,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.011407015,0.010003133,0.012753622000000001,GBD,Other
Other unintentional injuries,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0011402369126446,0.0008469367945326,0.0015298289944584,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.029925987,0.026299083999999997,0.034411439999999995,GBD,Other
Other unintentional injuries,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0008700874090885,0.000609200546526,0.0012213862393159,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.027059874,0.023785531999999998,0.031354558000000005,GBD,Other
Other unintentional injuries,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0008751199403733,0.0006180775117886,0.0012086701450146,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.026276927000000002,0.023032207,0.030467477,GBD,Other
Other unintentional injuries,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0007738408194225,0.0005335529041651001,0.0010954266510146001,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.02494031,0.021781659,0.029151997000000002,GBD,Other
Other unintentional injuries,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.00102065002286379,0.0007486747901684279,0.00138660740545424,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0265487796468554,0.0232366156181962,0.030712536953048403,GBD,Other
Other unintentional injuries,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.000728428177045737,0.000510462556672369,0.0010259160129907799,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0219725040115303,0.018960476991826698,0.0256611870195023,GBD,Other
Other unintentional injuries,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.000742021673191276,0.00051253709364999,0.00104036748874108,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0228917400670329,0.0196729215644918,0.0269593856979396,GBD,Other
Other unintentional injuries,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2024,0.00101765925193447,0.00073910987416,0.0013674303786518002,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0265336632629324,0.0230961464479457,0.0307567915650322,GBD,Other
Other unintentional injuries,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2024,0.000719765455416867,0.0005008689935981861,0.00101352365494227,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.021732753213913603,0.0186402518100979,0.025516916805052203,GBD,Other
Other unintentional injuries,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2024,0.0007335755944017719,0.0005074109958461669,0.00103208946535464,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0226495031025974,0.0196282755199753,0.0270510591958304,GBD,Other
Other unintentional injuries,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2025,0.00100601471643695,0.000731485558722893,0.00136425148190681,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0262891079676537,0.022944474960961202,0.0305845669088892,GBD,Other
Other unintentional injuries,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2025,0.00070299082778297,0.000483337757022835,0.000992897361412286,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.021252763616095,0.0182768582071147,0.0250152354965934,GBD,Other
