Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0015657930196617,0.0013262853027496998,0.0018237227529056,GBD,Neurology,Prevalence,"Rate (per 100,000)",Past estimate,0.0036396855,0.0030790992999999997,0.00435369,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00160488098185512,0.0013506344931334998,0.00187904523256917,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0038168045083811397,0.00321479747720229,0.00453060814452202,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00166436937065812,0.00140773885798025,0.00194386123519625,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00395882922185493,0.0033299125264820402,0.00469911301435599,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.0017267378076625101,0.00147013458739891,0.00201144264304182,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00410835954116944,0.00346078769599549,0.00488017855529793,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0017882873299296302,0.0015292374678449801,0.00208021889697088,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00425436337686525,0.00358121854721861,0.00505165135711498,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.0018535369596393999,0.00158713668715443,0.00215004186531033,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00440699693422994,0.0037004258358684502,0.00524473758628371,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00192669719445948,0.00165604405359268,0.00222822078826147,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00457446893511793,0.00384202765297053,0.00544560600396935,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.0020043662629771,0.00172786483785125,0.0023147639917495398,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.004750544665454539,0.00397737236330495,0.0056577036160680595,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0020837071445426,0.00179891627469734,0.00239893605083983,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00493157499496658,0.00412739572200411,0.00587774482493688,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0021607651053932803,0.00187047546918292,0.0024878585922484,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0051045272963520195,0.00426327235803958,0.00608281747879499,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.0022405129706684498,0.0019426898612964398,0.00258560067321809,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00528097691857758,0.00440262389458859,0.00630025263604995,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.0023276665667427,0.00202037755611406,0.0026909521330535603,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0054702909156722004,0.00454629001375694,0.006526894940070759,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.00241785657339571,0.00210153558855833,0.00279930660066726,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00566485247616717,0.0046955326631371004,0.006767763538952259,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.0025080408836154,0.0021799815727572202,0.00291394837783188,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00586146906462223,0.00485968364508536,0.00699722801641268,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.0025945144604602502,0.00225660562464491,0.00301853356698899,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.006048458479014999,0.00500610699895557,0.007220849091289751,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.00268288627868722,0.00233507545725217,0.00311035247249253,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00623786420483468,0.00515382682241727,0.007438400509810161,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.00277656819985783,0.00241576610143729,0.00322497219132158,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.006435315464484201,0.0053215677966547605,0.00767225137614971,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.00287298116810657,0.00250101289289344,0.00334111616949998,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00663774845289794,0.00549407819411696,0.00792150320460532,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.00296809157865033,0.0025784011200803503,0.0034551926431266996,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0068417070675105005,0.00566831680978719,0.00817610832927056,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.00305788992168409,0.00265024810777099,0.00355545727652754,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.007034334836376649,0.00581809725823019,0.00842425500506263,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.00314789701528163,0.00272720647288345,0.00366152184106515,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00723042039936996,0.00595508951560326,0.00866690743620912,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.0032442096738029102,0.00280615225411288,0.0037691032030404198,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00743932320693796,0.006099455241306301,0.00891694080602371,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.00334287743957543,0.0028894161812793298,0.00387937222398149,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00765250034865228,0.00625327010337376,0.00918256694314884,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.00344061640391006,0.00297096132599621,0.00400464211415756,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00786585084340919,0.006403093655333849,0.00947764477311055,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.0035335877832386397,0.00304442533549899,0.00411991137766429,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.008064214250661391,0.00654792355083627,0.00974293065170688,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.00362721063115399,0.003118590355882,0.00423424566880663,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0082626798133398,0.0066824077262030695,0.0100015678888633,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.0037223066217881304,0.0032009949527052202,0.004357424896855941,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00846333958600942,0.00682216372355134,0.010265441550181399,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2049,0.0038159174114641,0.00326615007360648,0.00448560770046451,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00866237925298812,0.00697960619992278,0.010544531793777,GBD,Neurology
Parkinson's disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2050,0.0039047214411213503,0.0033449968720318203,0.004614239085356821,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00885745599215614,0.0071316626167149,0.010794308369083102,GBD,Neurology
Parkinson's disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0022010737584616997,0.0019486444637254999,0.0024157656909364,GBD,Neurology,Prevalence,"Rate (per 100,000)",Past estimate,0.0036563200000000002,0.002994414,0.004367649,GBD,Neurology
Parkinson's disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0027179263868776,0.0024066779886174,0.0029899491528072,GBD,Neurology,Prevalence,"Rate (per 100,000)",Past estimate,0.005014669,0.0047451393,0.005295200999999999,GBD,Neurology
Parkinson's disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0024349259955082,0.0021148455202219,0.0026611747203873,GBD,Neurology,Prevalence,"Rate (per 100,000)",Past estimate,0.0032050900000000003,0.0026454340000000003,0.0038122088000000004,GBD,Neurology
Parkinson's disease,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0024548759800802,0.0021775762462062,0.0027436968333343996,GBD,Neurology,Prevalence,"Rate (per 100,000)",Past estimate,0.0044481517,0.0034738055,0.005886932,GBD,Neurology
Parkinson's disease,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0021705455274122,0.0019849620396484,0.0023433863180405998,GBD,Neurology,Prevalence,"Rate (per 100,000)",Past estimate,0.0030433569999999996,0.0025663841999999997,0.0035588716,GBD,Neurology
Parkinson's disease,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.0021440495823689203,0.0018812934996263102,0.00237186416677746,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0037009235849471598,0.0028586303774582804,0.00430769522074445,GBD,Neurology
Parkinson's disease,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.00233992826326147,0.0020588157046439,0.0025966412334939098,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00437340095264288,0.00363434439616756,0.00518585120369819,GBD,Neurology
Parkinson's disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.00265922963513242,0.0023346512167199502,0.0029444970873719898,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.00507188763815044,0.00484062771422028,0.0053123330535637895,GBD,Neurology
Parkinson's disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.0024328266568434402,0.00214835118699132,0.0026784556454032497,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0032134556428906097,0.0026060804812643498,0.00380830075521401,GBD,Neurology
Parkinson's disease,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2023,0.00207433376646495,0.00187480038836506,0.0022605367202589498,GBD,Neurology,Prevalence,"Rate (per 100,000)",Reference,0.0030135206262780797,0.00254984626503029,0.0034933728626713504,GBD,Neurology
