Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Peripheral artery disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0010359420680631,0.0008834204316941999,0.0012272819814571,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.04579092,0.039677437,0.05266154000000001,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0007190413160398,0.0005727524911866,0.0009321801022741,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.048030905000000006,0.041917156000000004,0.05533462,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0008129960343276999,0.0006990063095262001,0.000976621483955,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.03715911,0.03223031,0.04289754,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.00103431994702764,0.0008728866652472161,0.00125709683516288,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.045877830039651596,0.0396214993426803,0.053277782142842,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.0007137952230693359,0.0005605929413112041,0.0009356693182226311,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0476849494397067,0.0413668263605702,0.05486243501025691,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2023,0.000782586889271536,0.0006601628542396691,0.000952104697091662,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0368103574600048,0.0319019672234488,0.0426575188650978,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2024,0.00106087147760918,0.000898025368195617,0.0012821702061878801,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0462778980474885,0.0399009838565903,0.0534640165833964,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2024,0.000734512850217931,0.000578418591760027,0.000962493233839805,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0481398583263272,0.0417892234269064,0.0555250195854628,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2024,0.0008025692729656269,0.000673168255799106,0.00097080928849586,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0371099970125123,0.0322762468631757,0.0430032472245686,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2025,0.0010839960059146501,0.0009163199592919069,0.00131027698561053,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.046618084605793704,0.0400478135400448,0.0539031263336939,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2025,0.0007539200820745031,0.000594741789880676,0.000980479608495853,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.048622407701620206,0.042212428924280905,0.0561752621656516,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2025,0.000821186463325169,0.000691242751919568,0.000992880168761666,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0374166327173196,0.0324190566901085,0.043455355362841,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2026,0.00110253917753716,0.000929473018416804,0.0013305681611070301,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.046904852061867695,0.0401508784599807,0.0542526905467836,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2026,0.0007715851946403301,0.000604894834651864,0.0010040324879954901,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.049137599667792,0.042761205012161,0.0568414899100166,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2026,0.0008374695671439091,0.000706086057407499,0.00101232172918091,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0377002623403905,0.0325859513883313,0.043896380405572,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2027,0.00112166340097446,0.000943844264557422,0.0013546538108364502,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0472200076695168,0.040362992935747105,0.0546775137665874,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2027,0.000788921418277137,0.000616467350641226,0.0010302856634497501,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0496298194792349,0.0431382873863655,0.05744667292041979,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2027,0.000854401115974851,0.000719402102768493,0.0010289451822194,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0379812788300679,0.0328997603384921,0.0443202998328209,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2028,0.00114208601827418,0.000958590716814098,0.00138053716975853,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0475317722391753,0.0407129198826653,0.0549500616310566,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2028,0.000809090217284302,0.000633950923575971,0.00104786442438512,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0501549642004748,0.0435175972214511,0.0579922281743163,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2028,0.000873895058649955,0.000734320668251266,0.00105577292108194,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0383018172139216,0.0330574994011359,0.044870191298595,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2029,0.00116216664771347,0.000970508046626763,0.0014053119095789699,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0478705701199064,0.0412918488526581,0.055155052042486406,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2029,0.000829817373454959,0.000651753739032348,0.00107338020429288,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.050745463416207004,0.0438307136333901,0.058728960460705505,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2029,0.000893528085248509,0.000749139348964402,0.0010751551441641099,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0385984427768015,0.0332167697969485,0.0451413195479356,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2029,0.0006960869896459281,0.000566442751397765,0.000857454795579078,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0386200881763611,0.0328392153731871,0.0447298562966621,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2030,0.0011799833704182901,0.0009763349825001459,0.00142816427296011,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0482096990119455,0.041437084065042,0.055540430254970595,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2030,0.00085030173849896,0.000668055976708239,0.00108790627243594,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.051280566329907,0.0443613326769586,0.0595061407387505,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2030,0.000912689838085432,0.0007671143894785451,0.00109115239765195,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0388866524646106,0.0334272047647971,0.045571393921415,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2030,0.000708664235667099,0.000574116036082862,0.00087116326171812,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0388463924711744,0.0330295453352065,0.0448688966507264,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2031,0.00119413555796198,0.000983862565637339,0.00144310666191481,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0485289712261102,0.041510045463844,0.0561339882160279,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2031,0.000870818619675443,0.000686253212087543,0.00111038650911614,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.051913425867248494,0.0449329788230239,0.0600859422333327,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2031,0.000931667153977167,0.000781699889686828,0.0011107270564155501,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0391826793576214,0.0335126631222726,0.045886416763427494,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2031,0.0007212958111255211,0.000586580653695575,0.000888221406634821,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.039108362863092,0.0330800290121609,0.045151119677463304,GBD,Cardiovascular
Peripheral artery disease,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2032,0.0012059614254460599,0.000988316857561824,0.0014571657140386,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0488538357137457,0.0415687698366976,0.0566409558398161,GBD,Cardiovascular
