Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Prostate cancer,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0034416879500535,0.0028967304968451,0.0040740382116835,GBD,Oncology,Prevalence,"Rate (per 100,000)",Past estimate,0.007653887,0.006349977,0.008889646000000001,GBD,Oncology
Prostate cancer,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0039907327509306,0.0033730994691210997,0.0046244414132596,GBD,Oncology,Prevalence,"Rate (per 100,000)",Past estimate,0.007876861,0.006764425,0.009118522,GBD,Oncology
Prostate cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0030117136107592002,0.0026868298783414004,0.003317264806466,GBD,Oncology,Prevalence,"Rate (per 100,000)",Past estimate,0.005794883200000001,0.0051553044,0.006478176499999999,GBD,Oncology
Prostate cancer,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0026895877497487997,0.0022806148199511,0.0031853812257283,GBD,Oncology,Prevalence,"Rate (per 100,000)",Past estimate,0.004402017,0.0037605040000000005,0.005153013,GBD,Oncology
Prostate cancer,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0039638550549451,0.0036514779919241,0.0042070814441653,GBD,Oncology,Prevalence,"Rate (per 100,000)",Past estimate,0.006286396,0.0059228020000000004,0.006584212999999999,GBD,Oncology
Prostate cancer,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.00334895402519095,0.00287703385954979,0.00390284993015507,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0077474088831671305,0.00642843946963975,0.00891929929876888,GBD,Oncology
Prostate cancer,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.00392882898911297,0.0034283289262587,0.00444113595552211,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00787362653358942,0.00677696771908742,0.009051922705336099,GBD,Oncology
Prostate cancer,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2023,0.0037139201789800503,0.00342466978461552,0.00396306729968559,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0059660654194009805,0.00559005109107642,0.0062758555808323695,GBD,Oncology
Prostate cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.00301989018144622,0.00269691758111426,0.00327751894863897,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.005948535738594871,0.005278011410735001,0.006645052808135809,GBD,Oncology
Prostate cancer,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.00258750138792961,0.0021961464472142,0.0029695480937380002,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.004438351025780021,0.00382099926253264,0.005174012519419079,GBD,Oncology
