Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Protein-energy malnutrition,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0010851476586824001,0.0007260273863741,0.0024588950751827,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.025299603,0.020416318000000003,0.037464857000000004,GBD,Other
Protein-energy malnutrition,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.00101799520021607,0.000657723475046283,0.00235585903934538,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0238594919903441,0.0195093505850946,0.035116358715401995,GBD,Other
Protein-energy malnutrition,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2024,0.0010469085256447001,0.00068486977064854,0.00237996933391835,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0240030454824431,0.0196301611963788,0.0353036381667038,GBD,Other
Protein-energy malnutrition,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2025,0.00107049410731571,0.000696003010650071,0.00239166554639854,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0241444550057302,0.0197503602285385,0.0354897386092133,GBD,Other
Protein-energy malnutrition,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2026,0.0010862003910636,0.0007023117313606311,0.0024216069286724998,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0242815596560486,0.0198608650620805,0.0356674547785703,GBD,Other
Protein-energy malnutrition,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2027,0.00110127820375326,0.000714134418519952,0.0024609067019941804,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0244175055793995,0.0199705874343452,0.0358465353502897,GBD,Other
Protein-energy malnutrition,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2028,0.0011231528656904701,0.000721143295235575,0.00247729157750638,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0245555929627038,0.0200817546797286,0.0360317639101168,GBD,Other
Protein-energy malnutrition,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2029,0.00114363255006742,0.0007281028261967521,0.0024967343075717697,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0246931027165518,0.0201872362965412,0.0362104896044062,GBD,Other
Protein-energy malnutrition,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2030,0.00116563375653078,0.000731349424898694,0.00253193907673872,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.024827538716087703,0.0202837922006383,0.0363836102800046,GBD,Other
Protein-energy malnutrition,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2031,0.00118888926966939,0.000739048709012628,0.0025659753974078,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.024956298522298498,0.0203726364278262,0.0365503235991809,GBD,Other
Protein-energy malnutrition,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2032,0.00121465725640537,0.0007470538812319689,0.0026013263566281104,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.025081521856859298,0.0204617412472843,0.0367132054893246,GBD,Other
Protein-energy malnutrition,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2033,0.00124169632556949,0.000752207785990328,0.00263197289869789,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0252045622884693,0.0205502709428366,0.036872583012221495,GBD,Other
Protein-energy malnutrition,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2034,0.00127055008600299,0.00076143077598885,0.00268850847912449,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0253232855151717,0.020632139538196603,0.037028415469093405,GBD,Other
Protein-energy malnutrition,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2035,0.00130489864141386,0.000775422211413359,0.0026974397445499697,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.025435807134623,0.020708926422111498,0.0371791870982682,GBD,Other
