Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Psoriasis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0012673558713299001,0.0009238304748065,0.0016896791347245,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.014953494000000001,0.014440283,0.015456405,GBD,Immunology
Psoriasis,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.001751135681644,0.0012624938036078,0.0023350913723598,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.020696389,0.01996709,0.021406827,GBD,Immunology
Psoriasis,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0010194443977808,0.0007436848347371,0.0013498526790147,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.012024217,0.011604029,0.012480186,GBD,Immunology
Psoriasis,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.000802579466736,0.0005870527834999001,0.0010614496626570999,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.009425036,0.009193973,0.009717833,GBD,Immunology
Psoriasis,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Past estimate,2022,0.001082927877929,0.0007844209302553,0.0014440971920955,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.012734983,0.012332138,0.013145436,GBD,Immunology
Psoriasis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.00126516710147303,0.000910258851682951,0.0016757682771930899,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0149292384239651,0.0144214069199908,0.0154708048849067,GBD,Immunology
Psoriasis,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.0007959654882902861,0.000582898182538787,0.00106293703671453,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00934161233808504,0.00910498135883773,0.0096132613286137,GBD,Immunology
Psoriasis,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.00174623700294033,0.0012605212756770401,0.0023221244389035702,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0206636891896237,0.0199478196996291,0.0214161268026851,GBD,Immunology
Psoriasis,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.00101599077263656,0.000739417611844838,0.00135089476761365,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0120087927099159,0.011592206929015499,0.012471775597088699,GBD,Immunology
Psoriasis,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2023,0.0010890809258940599,0.000788525809256431,0.00145274306663569,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0128172519713546,0.0124030706682914,0.0132396577703781,GBD,Immunology
Psoriasis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2024,0.0012649233624569599,0.00091115012384496,0.0016746296533632099,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0149331354575411,0.0144125932319107,0.0154828065841575,GBD,Immunology
Psoriasis,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2024,0.000794922897664549,0.000581965320059739,0.00106282096486038,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.009332750154854911,0.00909590259806621,0.00959602440099123,GBD,Immunology
Psoriasis,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2024,0.00174468581199582,0.00125970807273755,0.00231963137765503,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.020651998503435798,0.0199223233519886,0.0214101401833578,GBD,Immunology
Psoriasis,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2024,0.00101653334925026,0.00074036160841587,0.00135157829294149,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.012021432938881601,0.011597674106388699,0.012489734746413999,GBD,Immunology
Psoriasis,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2024,0.00109009020056727,0.000789293327191958,0.00145496900918808,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.012833624433487801,0.0124155577452758,0.013263732802684402,GBD,Immunology
Psoriasis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2025,0.0012645983659299001,0.000911871045799371,0.00167328497518899,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0149360257495722,0.0144099621282461,0.0154978789341412,GBD,Immunology
Psoriasis,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2025,0.000793848275753471,0.000580926498358107,0.0010627743185368701,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00932359709502456,0.00908900481216547,0.0095917696104131,GBD,Immunology
Psoriasis,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2025,0.00174317162004465,0.0012590149462687501,0.00231731565065938,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0206403963586375,0.0198979236242477,0.021403913948242998,GBD,Immunology
Psoriasis,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2025,0.0010169823453933,0.000740940585152564,0.0013513639932719599,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0120329976037449,0.0116054549100453,0.0125006983027698,GBD,Immunology
Psoriasis,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2025,0.00109094490947078,0.000789997545869555,0.00145688478329472,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0128480463667399,0.012429059367838299,0.0132739668340077,GBD,Immunology
Psoriasis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2026,0.00126406981658773,0.000912346811842561,0.00167263909265355,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.014936387817469199,0.014406036752657302,0.0155062373343787,GBD,Immunology
Psoriasis,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2026,0.000792691353193798,0.000579728370620425,0.00106174758197175,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.009313532702828281,0.00907673291644217,0.009584679563086401,GBD,Immunology
Psoriasis,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2026,0.0017416841797328899,0.0012582587243596,0.00231532545378515,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.020628635605651396,0.0198866061142018,0.021395849633805402,GBD,Immunology
Psoriasis,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2026,0.0010172547828253,0.0007412387454875071,0.00135077456975356,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.012042488243727001,0.0116111079567555,0.012507946698085099,GBD,Immunology
Psoriasis,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2026,0.00109158810779758,0.000790507292892764,0.0014585079635169398,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.012859863950571801,0.012440125259174099,0.0132948178981152,GBD,Immunology
Psoriasis,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2027,0.00126338647764729,0.0009125726070985241,0.00167199995175106,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0149348065412608,0.0144019158100538,0.0155154173784358,GBD,Immunology
