Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Rheumatic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0014422316280677,0.0011592817949018,0.0017825913363502,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Past estimate,0.006338946,0.0051531354,0.0076588685999999994,GBD,Cardiovascular
Rheumatic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00140718067803466,0.00114933851871944,0.0017376288600117601,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00637295785243028,0.005208325864642979,0.00771229383718558,GBD,Cardiovascular
Rheumatic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.0014018183698526702,0.0011474542590407999,0.00173438886686648,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0063735788268651904,0.00521253756946832,0.00769548127197643,GBD,Cardiovascular
Rheumatic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00139546634925051,0.00114489267746163,0.00172816837239982,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0063732610783089295,0.00521532591877313,0.007678606747330311,GBD,Cardiovascular
Rheumatic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0013910870271926,0.0011442357733215899,0.00172669575479804,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.00637159457470465,0.005216402412772539,0.00766286055726354,GBD,Cardiovascular
Rheumatic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00138882577256657,0.00114057011984548,0.00172165090710577,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.006371007726840209,0.00521786285098525,0.00764985792882983,GBD,Cardiovascular
Rheumatic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.0013900357911965401,0.00114004727504328,0.00172449129686512,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0063714323467553196,0.005219246922859349,0.007638252788595251,GBD,Cardiovascular
Rheumatic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00139231980087858,0.0011364109122934101,0.0017326739297493902,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.006370944133162771,0.00521754332312973,0.00763411278270421,GBD,Cardiovascular
Rheumatic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0013934464077912199,0.0011350719949990901,0.00173568482395294,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.006367285211963569,0.00521353438395346,0.00763206732702123,GBD,Cardiovascular
Rheumatic heart disease,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00139542447978317,0.00113304523250106,0.0017400439851271699,GBD,Cardiovascular,Prevalence,"Rate (per 100,000)",Reference,0.0063594353263448705,0.00520658479270078,0.00762971234617057,GBD,Cardiovascular
