Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.000697583947264819,0.000523589422797496,0.0008942957991222851,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00385438009730543,0.00334254825243286,0.0044052825947339495,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.000710365962644689,0.0005338835381633799,0.0009093001521620781,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0039091477157211394,0.0033910993182360498,0.00446205540885152,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.000723826974563195,0.0005451066881556181,0.000926854385929542,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0039657253866801695,0.0034411171267168202,0.00452720754632264,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.000737618510610879,0.00055666006133966,0.000943096505971602,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00402298170822818,0.00350209535879887,0.00459342877904622,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.000751548025504472,0.0005671238642351171,0.0009606198733453181,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00408106775174259,0.00355171951957985,0.00466593043755325,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.000764806297340035,0.000577816262917732,0.000974205254450857,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00413594552628419,0.0035956618363787198,0.0047385839982772,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.0007781631125430699,0.0005876989979295559,0.0009941413904302771,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00419037706869236,0.00363509731937462,0.00479369776258213,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.0007917559733859101,0.0005977029499531281,0.00101346909927391,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0042448844975698195,0.00367701471105027,0.00485141012666982,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.000805484163088598,0.00060763379260479,0.00102690454946404,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0042994226594770995,0.00371760703205862,0.00490946872260517,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.000819306112932437,0.000620711418673976,0.0010447718136026999,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00435514372875465,0.00376303359013303,0.00497111005880315,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.000832584264835332,0.000631040169237695,0.00105965153238747,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00440780492478965,0.00380037659799,0.0050217950651494,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.00084641116423333,0.000640667900522699,0.00107769501398248,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0044630925174776,0.00383613711475745,0.00510013473294078,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.000861143143530523,0.0006499842400153681,0.0010954014156557,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.0045220580766944,0.00388375729495424,0.0051625677940044,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.00087630531365865,0.0006623406242860981,0.00111313757253371,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00458187519503955,0.00393650376379002,0.00523334513093198,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.000891850771496851,0.000675424207798576,0.00113209898072915,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00464359637016993,0.00397875512810024,0.0053281418935278895,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.000906735856454669,0.0006857488093888899,0.0011483220202319199,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00470120439831845,0.00402675893212063,0.0054034678801866505,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.000921902509326681,0.0006957307109545979,0.00116612421467894,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00475936973352255,0.00408352843804719,0.00547112005541223,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.0009376799490297419,0.000707950601394774,0.00118321251709009,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00481931605506948,0.0041354184969046,0.00553633662022428,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2049,0.000954030804493385,0.000719473345609332,0.0012028032417328999,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00488154200364581,0.00418863776855989,0.005624106704641609,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2050,0.000970026868906396,0.0007327916640891741,0.00121831303739741,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00494290306508343,0.00423920028967082,0.00571526414387398,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0007246111835393999,0.0005456118708162,0.0009441815246025,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.0043949904,0.0038532093,0.0050546546,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0011535637469156999,0.0008749796091642,0.0014900305354436,GBD,Immunology,Prevalence,"Rate (per 100,000)",Past estimate,0.006940647,0.0062563987,0.007760175,GBD,Immunology
Rheumatoid arthritis,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.000735262705862676,0.000556221689730254,0.0009641139899293801,GBD,Immunology,Prevalence,"Rate (per 100,000)",Reference,0.00448656032977973,0.0039275783945202,0.005137291488093601,GBD,Immunology
