Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0085215377399924,0.007215511500431399,0.0100352341362529,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.027238033999999998,0.02505153,0.029268238999999998,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.008280197723942801,0.00707250930119422,0.00979850936946557,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0270265484875022,0.024825032535136602,0.0292177787303317,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.008178359396244379,0.006952536686871669,0.00968835308908754,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0271394519052733,0.0248331563006353,0.029588510305567202,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00807680910838879,0.0068589593367963005,0.00959731426578992,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0272518236357687,0.0248480722469794,0.0298264283829635,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00799769788223625,0.006746796501778221,0.00954596528341857,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0273857943306043,0.0247957249052237,0.0300905578659829,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00792282454933964,0.00663858595758739,0.00950820677440678,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.027504068239775803,0.0247784112188233,0.030451594542625197,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00786451505409524,0.00652600559841316,0.009516150004567741,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0276669543205968,0.024821371753293603,0.0309091654454849,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.00781414529804278,0.00643719560279259,0.0095482702698473,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0278423607270101,0.0248203469481465,0.0314482584354184,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.007759750562075581,0.006359695664114169,0.00960715175847221,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0280057234560853,0.0246766937971456,0.0320050703693996,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00771367806812954,0.00624922241099192,0.00960791662418585,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.028139697810115598,0.0246179641294438,0.0325658566239119,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.0076784230530994296,0.00614448932379443,0.00965657989879099,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0282982035002605,0.0245878165910892,0.0330804588212737,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.007647827369294651,0.00604338955550048,0.00971646623861175,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.028465462058984498,0.0245836696681401,0.0335535896909176,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.007612517318504351,0.00591829353207473,0.00979027047054358,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0286138108155716,0.0245210317303705,0.034076033194595005,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.00756674574533113,0.005806113635601269,0.00980133969479755,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0287450320235685,0.0243868104853613,0.034599899157095604,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.00752637543086257,0.0057027885526806195,0.00990348389482971,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0288826526396667,0.024231567299342,0.0351844799520849,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.00748037160211611,0.00559433654461337,0.0099458535370841,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0289955253566112,0.024100363918899997,0.0357289153190486,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.00743938321868666,0.0054837274279029395,0.010001980630171799,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.029129715439622,0.0240478282559674,0.0362563883085777,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.00739157547798163,0.00535923053098438,0.0100779613879124,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0292419747837021,0.023949523497996603,0.0367008965017944,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.00733220121089909,0.0052599831352798795,0.0101177971644356,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0293414229271794,0.023851066268294998,0.037186772455558195,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.00727208841645998,0.00515785954894016,0.010154859737505099,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0294420827651708,0.0237223954037337,0.0377328282005239,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.00720707922906647,0.00504646162592729,0.0101654767797312,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.029529754046571603,0.023537351633379198,0.0382784368416077,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.00714359826096212,0.00493471397765673,0.0101840165904022,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0296300599731182,0.0233912657335151,0.038888252577127,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.0070794328163214905,0.00481910044513857,0.010231638349656,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0297181446784285,0.023289302247002902,0.0394923005399411,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.00701759914409799,0.00471744251027995,0.0102592450878976,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0298241905970255,0.023180409774401,0.0399651315999365,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.00696211897485555,0.00461417501812147,0.010272218542571399,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0299098242554596,0.0230350316202244,0.0405737234532216,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.00691013271241221,0.00453582740835604,0.010288643216820001,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0300038280697761,0.0228818714008338,0.0411546532578587,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.0068570449439393,0.00445502943700355,0.0103469120358211,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0300849557039819,0.022707390168023898,0.041758383194994,GBD,Other
Road injuries,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2049,0.00681298100465148,0.00437957889148407,0.0104480355274208,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.030187269100837303,0.022546964950189298,0.0423481702762417,GBD,Other
