Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0011478448670254,0.0006465117719979,0.0018624370445398,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Past estimate,0.044671800000000005,0.039781729999999994,0.049893456999999995,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00114285419927101,0.000644233780252233,0.00185554899866005,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0445276330082555,0.0397449074417038,0.0495887663143892,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00113931896263082,0.000640323707900347,0.0018491596177563202,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0444155747296768,0.0397395054747082,0.049338762899826596,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00113637535316251,0.000636942014444347,0.0018439089803202798,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.04432622509920631,0.0396098846429548,0.0493100696839358,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00113408524358988,0.0006343443924781139,0.00184008755126777,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0442609708318179,0.0395091514436469,0.049307334093591,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00113229393603985,0.000632516114803042,0.00183682748703827,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.044215460102491,0.0394750301826371,0.0493613835291216,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.00113093577846916,0.0006299167328759359,0.00183382505632999,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.044188212297012495,0.0395193727445219,0.0494223916277794,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.0011298669652058599,0.000627615441348295,0.00183102744513031,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0441727539652245,0.0395077300379199,0.0493281305873254,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0011289599369177,0.000625835897959514,0.00182847391896884,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.044163353550165804,0.0394862451826321,0.049222590291738,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0011280154135120599,0.0006254331101308101,0.0018256841645049701,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0441515606174785,0.0394656631120498,0.049167833564232696,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00112717957808492,0.000626292920730599,0.00182287330211505,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.044144167235160306,0.0394235147778702,0.049143902914768396,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.00112654064605599,0.000628050656290009,0.0018211915263334798,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.044145480126329004,0.0393629824102803,0.0491016672178396,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.00112586057790616,0.000630035767615521,0.00182131541022907,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0441455263062719,0.0394029695214594,0.0490129432828075,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.0011249149424368298,0.000631775815672674,0.00182069031052623,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.044135035102947306,0.039462139098324904,0.049008694451603996,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.0011233958728907101,0.000632734328842462,0.00181869775727305,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0441015981012826,0.0394790023130355,0.0489843514354916,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.00112159884103075,0.0006330317680040499,0.0018156179252198101,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0440577467283908,0.039451745990518296,0.048921989275878694,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.0011196575262311,0.000632975279738547,0.00181181431448105,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0440095898133418,0.0393605994350471,0.048905662418041805,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.00111757343530445,0.000630955120504695,0.00180739305075034,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.043956243493313694,0.039266299871495096,0.0488874513453816,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.00111537491129511,0.000628422214706028,0.00180248877150949,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0438979361708334,0.039184145156886105,0.0487960625815827,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.00111302014204014,0.000625356816685269,0.0017972829263838302,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.043832274698736004,0.0391304204741803,0.0487451419298071,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.00111053087980709,0.000621681361253711,0.0017897087749273101,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0437615821934233,0.0390916192841964,0.048710088309617004,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.00110789988939357,0.0006176994503378561,0.0017816571210796598,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0436869010346134,0.039007523802906896,0.0486895629583531,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.00110535203873973,0.000615664448556397,0.00177394542269985,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.043615905391776996,0.0389137448953521,0.0486062561666128,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.00110314128259265,0.000614980684136291,0.00176928164215079,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0435574232138997,0.0389236733321599,0.048508698182018695,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.00110148040429795,0.000615144303287672,0.0017700434486203202,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.043518570436313006,0.0389377422154648,0.0484797747369991,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.00109993840701222,0.000615275603190089,0.00176563742991728,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0434844694174842,0.0389003367913594,0.0484269968677116,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.00109837312021345,0.000615436921136504,0.0017611463135018702,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.043450707321977096,0.0388448915548793,0.0483748685090909,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2049,0.00109697808714633,0.000614965024860932,0.0017588525039702902,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0434236646748754,0.0387984354583822,0.0483815426133858,GBD,Infectious Diseases
Scabies,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2050,0.00109597893252551,0.000613941373715965,0.00175782124958706,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0434109206640786,0.0386664106676249,0.048431579484629304,GBD,Infectious Diseases
