Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.002402288686025,0.0018143736850156,0.00300084402854,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0037081558,0.0032316383000000003,0.004207249299999999,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00242705551915662,0.00181044011361636,0.0030321494042685497,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0037541359589482698,0.0032743864518897403,0.0042619399842985005,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00242784557502721,0.00181050973978552,0.0030308958762674397,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00375809801748431,0.00328007652597862,0.00426428930166305,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.0024292354152119903,0.00181129469094813,0.00303274181515274,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00376292202067706,0.0032862358101564803,0.00426788525903034,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.00243095624909397,0.0018127336430282,0.00303707479787733,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00376809800877194,0.0032925750711921197,0.00427248610521541,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.00243298120102484,0.0018149680715268599,0.00304155151569556,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0037736306309015403,0.0032998846128804798,0.00427808255440876,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.0024347212902344198,0.00181744360107453,0.00304591898552858,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0037786949941107702,0.0033061699078615198,0.0042834833146715105,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.0024365835482714,0.00182021921024086,0.00305002876081571,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00378388715031265,0.00331202222135392,0.00428910875417649,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0024391977349286402,0.0018235233550203099,0.00304961316671049,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00379014769266977,0.00331833469437347,0.00429471085948289,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.0024421126624071202,0.00182676483792376,0.0030501282437144905,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00379673622959019,0.00332453246921243,0.0043010395376214304,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00244595398663691,0.0018305290303178001,0.00305225666224488,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0038046209979373602,0.00333152372511073,0.00430910044571369,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.00245026630727123,0.00183464191279021,0.0030550727843628,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0038131441115306502,0.00333800568418489,0.0043180243427735,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.00245462950042409,0.0018386790298997098,0.00306040817027507,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0038216696784589,0.00334444242019529,0.00432383385451824,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.00245889561877568,0.0018424054211206898,0.00306556568785308,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00382999134919985,0.0033507776477548798,0.00432880881008803,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.0024618644558991,0.0018448003860707899,0.0030688921119538496,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00383626824746735,0.00335573813023801,0.00433251141373108,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.00246515811164735,0.00184729139429812,0.00307259642057009,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0038429550452700498,0.00336136812169404,0.00433769363616837,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.00246876214201627,0.00184979535259047,0.00307748569432875,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00385005992279829,0.00336750302297287,0.00434410829679516,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.00247159368444739,0.0018505807386203302,0.00308020195666923,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00385596635875179,0.00337301168977247,0.00434993244119891,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.00247294673949038,0.00184900417607364,0.0030804745553892295,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0038596451867038296,0.00337737355904909,0.00435404064546507,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.00247102607611406,0.00184523798744711,0.00307737734699737,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00385837382261916,0.00337865177702199,0.004351492818514519,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.00246867281547422,0.00184267011616585,0.0030747693030053398,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0038564422108096604,0.00337952701859127,0.00434620654443521,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.00246640420155847,0.00184020093459886,0.00307011474941369,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0038546469456670097,0.0033763711673047902,0.00434318285433346,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.0024636022823180097,0.00183741015320026,0.00306515975077866,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00385203870306028,0.00337184454714984,0.00433930026534194,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.0024599013783065003,0.00183405363847883,0.0030581919575528,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0038480627427733903,0.0033679551494120697,0.0043339480157917505,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.00245396913772112,0.00182916395832569,0.0030481033490838702,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00384065126180966,0.0033618027535031003,0.00432422218095823,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.0024480659570959803,0.0018241940948454502,0.00303922901817987,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00383327657862692,0.00335652232021152,0.00431548385821799,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.00244254997314254,0.00181943918493012,0.00303105026489282,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0038265128192893298,0.0033517305647757,0.00430785605500655,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2049,0.00243739002897747,0.00181492343592628,0.00302386231111587,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0038202796072623404,0.00334908181476075,0.00430009132617253,GBD,Other
Schizophrenia,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2050,0.00243278933702564,0.00181085035139991,0.00301826856457448,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00381485957501713,0.0033474715090243,0.00429113895387677,GBD,Other
Schizophrenia,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0018834173383235,0.0013393875073981999,0.0025044272440902,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0029883524,0.0024162037000000003,0.0036915042,GBD,Other
Schizophrenia,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0018774210638831,0.0013183082255066,0.0024891553747737,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0029856229999999997,0.0023928464,0.0036755088,GBD,Other
Schizophrenia,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0019604650627507,0.0014425757538471002,0.002486690887261,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.003109708,0.0026655332,0.0036047716000000003,GBD,Other
Schizophrenia,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0021069111337363,0.0015670450408132998,0.0025293883360136,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.0033217212,0.0031304464,0.0034901774,GBD,Other
Schizophrenia,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.00187195952403183,0.00130703652789637,0.00247915043348425,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0029773418607651502,0.00239708211669912,0.00371787369141309,GBD,Other
Schizophrenia,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.0020977461006207302,0.0015901506365344098,0.00254062857292814,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00331258788032096,0.0031303345530754,0.0034816007556118,GBD,Other
Schizophrenia,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.00185442273910378,0.00131887380095439,0.00244791726978312,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00295973692947196,0.00237647433901919,0.0036443400538770498,GBD,Other
Schizophrenia,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2023,0.00196152838031222,0.0014387630200129499,0.0024922819725954697,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00311568843130601,0.00268116586235191,0.00360679331896132,GBD,Other
